en-Common_cold,en-Human_flu,en-Influenza,en-Influenza-like_illness,en-Influenza_A_virus,en-Influenza_A_virus_subtype_H1N1,en-Influenzavirus_A,en-Influenzavirus_C,en-Oseltamivir,en-Zanamivir
3454,45,7028,101,381,1083,134,54,423,95
4027,49,4968,107,353,1242,113,60,515,143
5233,79,6957,194,628,1537,167,64,632,201
5482,90,7044,187,825,1518,189,75,637,196
5024,85,6979,199,780,1535,203,66,603,186
4524,66,6518,192,666,1414,166,56,638,167
4105,52,5265,130,581,1312,137,60,611,162
3518,64,4538,122,488,921,98,50,482,118
3785,57,5346,138,407,886,107,46,484,107
4930,76,6494,176,654,1152,170,52,682,160
5248,85,6914,175,791,1324,161,67,803,186
5065,89,6485,167,855,1377,196,83,767,172
4343,80,6165,166,888,1425,178,56,809,186
3397,67,4392,127,683,1271,137,38,634,124
2640,30,3246,82,364,946,87,40,436,68
3470,98,4270,235,503,1135,192,149,633,231
4364,81,5904,256,740,1622,225,141,720,290
4936,84,6789,187,874,1743,161,45,733,145
5988,103,7315,216,898,1978,200,62,820,164
4781,94,7079,187,957,2101,212,77,880,161
3722,68,5371,143,819,1482,164,38,697,150
3164,61,4675,126,522,1296,96,29,490,117
4308,77,5687,144,588,1501,121,50,624,125
5038,119,7362,168,953,1809,194,75,836,258
5432,115,8384,236,1401,2459,277,82,967,202
5920,126,8989,222,1373,2527,267,70,1049,237
5460,155,9158,238,1317,2763,290,127,1074,267
4854,167,7357,1411,1270,2337,263,91,1023,238
3869,141,5493,570,921,1539,171,65,755,182
4129,82,5862,274,730,1584,189,49,734,134
5233,126,7808,263,1135,2108,236,85,946,195
4925,133,8357,235,1584,2503,310,98,1030,237
4578,143,8410,273,1548,2603,294,99,970,207
4587,122,8536,285,1686,2568,301,99,1093,237
3955,131,7495,210,1467,3439,276,87,888,226
3093,109,5239,188,1150,1762,199,64,749,150
3631,99,5683,168,946,1623,200,75,786,165
4119,136,7748,192,1428,2225,305,75,1040,209
4235,117,8096,234,1896,2522,349,96,1083,200
4317,146,9163,201,2029,2511,390,87,1109,317
4201,123,8511,242,1929,2543,320,91,1079,248
3789,138,7130,185,1786,2219,325,79,1059,252
3324,105,5084,167,1216,1679,219,74,818,166
3776,87,5893,176,1116,1657,242,59,914,222
4714,166,8198,239,2048,2678,400,114,1112,245
4224,168,8318,233,2299,2382,447,104,1143,188
4329,130,7985,194,2205,2512,465,97,1298,250
3821,148,7415,259,2050,2353,453,116,1232,203
3399,179,6551,188,1930,2024,404,93,1048,213
2883,123,4705,164,1250,1566,290,83,954,166
3240,129,5285,146,1086,1492,264,73,853,131
4182,142,7533,201,1765,2100,457,117,1099,220
4118,165,8871,199,1735,2271,460,120,1360,277
3845,133,7456,193,1340,1954,348,95,1182,231
3881,116,7440,176,1426,2029,304,83,1162,210
3372,140,6469,177,1458,1907,300,86,1196,167
2918,80,5406,168,989,1399,241,58,985,107
3036,100,6363,153,879,1493,239,58,940,158
3837,132,7342,203,1523,2126,370,88,1140,265
4101,141,7761,205,1768,2412,409,118,1272,245
4030,135,7823,244,1773,2279,398,117,1295,253
3828,107,7363,216,1715,2166,354,96,1215,187
3530,121,6389,182,1537,1899,361,101,1212,200
2910,87,4491,163,1053,1575,255,57,958,119
3103,104,5022,146,1082,1473,265,74,803,133
3865,126,7039,220,1626,2014,379,97,1090,213
4159,139,7607,181,1907,2288,435,109,1251,172
4663,130,7908,237,1978,2436,467,113,1251,192
4167,145,7527,197,2157,2177,458,116,1272,199
3407,156,6701,233,1904,1991,460,94,1275,178
2748,93,4701,164,1290,1384,283,84,815,112
2996,110,5068,179,1005,1312,282,98,788,132
3749,128,6688,259,1620,1844,395,95,1047,203
4043,127,7477,228,1777,2158,396,86,1183,195
3998,117,7050,191,1817,2091,395,76,1099,186
3702,151,6995,227,1747,1958,358,86,1060,207
3555,98,5976,164,1537,1580,391,114,941,167
2716,83,4221,152,1000,1137,223,83,714,133
3039,135,4745,125,885,1113,213,67,751,158
3989,123,6894,198,1310,1641,366,76,944,169
3949,120,7339,249,1321,1831,361,87,1043,209
3983,116,7439,198,1356,1881,379,85,969,212
3869,107,7337,220,1371,1942,347,98,955,204
3303,98,5952,221,1213,1664,306,72,834,221
2543,54,3940,156,791,1082,179,67,592,124
2898,62,5529,154,685,1121,193,68,565,142
3840,96,6597,213,1115,1539,297,80,775,159
3894,112,7341,257,1215,1693,333,116,714,156
3866,115,7108,223,1139,1694,322,87,766,161
3642,86,7061,226,1074,1614,318,83,733,175
3107,67,5543,234,875,1403,251,79,692,156
2215,57,3608,158,551,888,150,52,486,105
2600,58,4216,173,523,973,157,53,474,114
3321,86,6081,199,915,1451,242,83,609,162
3353,84,6110,179,897,1368,225,72,683,159
3344,88,5713,161,924,1360,225,66,758,185
3145,76,5494,165,838,1273,227,65,607,179
2636,75,4268,146,729,1337,186,49,583,150
2147,50,2959,135,465,1055,131,46,412,90
2431,51,3481,130,478,914,140,66,378,122
3240,61,4943,207,754,1539,188,75,553,159
3299,71,5429,249,748,1736,186,69,582,175
3115,58,5339,176,760,1642,193,72,564,158
3252,64,5405,155,673,2515,222,75,506,160
2875,59,4176,140,576,1453,170,69,491,127
2181,31,2862,90,377,864,108,51,353,90
2486,47,3436,112,423,881,103,40,396,110
3365,72,6469,191,622,1328,188,61,517,161
3405,75,5835,172,665,1463,180,73,491,171
3246,72,5579,156,653,1236,181,71,555,179
3022,60,5138,152,551,1290,178,58,502,155
2648,55,4464,186,488,1168,154,53,417,190
1956,36,3078,113,298,761,91,49,300,115
2247,26,3659,205,330,804,88,33,334,96
3046,65,5303,184,562,1349,188,64,491,161
3164,62,5341,218,530,1348,140,60,513,180
3034,59,4814,186,509,1204,163,52,510,157
3047,49,4647,140,569,1156,143,49,478,168
2490,29,3762,113,422,1070,124,40,449,176
2060,40,2752,98,281,694,77,42,331,146
2178,46,3169,91,279,803,127,52,344,141
2884,57,4540,152,460,1187,127,64,456,181
2947,49,4669,178,484,937,151,53,418,183
3058,48,4692,139,484,1010,140,50,439,172
3031,71,4141,142,460,931,129,49,465,191
2631,42,3798,114,357,750,103,42,360,126
1882,26,2583,74,229,516,91,39,312,106
2072,49,2795,122,230,577,97,37,308,81
2880,43,4065,122,363,790,128,54,435,144
2892,47,4046,141,352,807,136,50,411,135
2677,38,3536,129,330,736,142,47,408,127
2487,37,3136,106,306,738,87,24,385,106
1916,31,2389,74,231,584,85,33,294,111
1766,24,2319,108,209,532,90,34,267,108
1860,32,2392,90,200,512,64,29,264,96
2639,36,3457,115,284,804,102,47,373,138
2696,53,4056,144,349,777,133,61,425,186
2759,39,4107,135,350,865,159,54,411,141
2716,48,3872,114,377,829,139,66,408,133
1980,46,3197,97,280,617,103,52,341,121
1732,36,2327,72,175,404,77,25,225,66
1936,38,2668,61,205,442,73,32,257,84
2594,54,4184,108,298,812,113,49,389,152
2833,35,4289,115,346,801,117,62,426,173
2780,41,4256,141,315,752,110,63,376,146
2599,53,4024,128,317,795,160,76,397,137
2316,36,3311,116,263,652,111,46,334,165
1676,32,2430,66,165,448,77,20,250,100
1884,44,2770,94,188,489,60,41,311,130
2856,61,4410,127,323,751,132,58,393,118
2995,72,4160,114,339,846,119,50,421,151
2755,51,4265,134,340,838,126,46,374,165
2528,39,3736,124,277,694,103,44,346,134
2143,31,3188,90,264,644,91,47,317,125
1725,29,2209,74,171,377,53,24,223,92
2192,37,2853,83,204,483,101,41,236,107
2751,56,4089,101,289,681,110,42,370,160
2886,65,4200,108,264,772,99,45,390,158
2728,40,3917,146,322,739,133,54,440,163
2520,47,4169,133,326,1694,162,69,378,139
2292,23,3077,99,221,694,77,32,362,139
1843,37,2251,80,130,465,51,33,210,86
1886,32,2820,64,202,599,70,40,252,89
2945,40,3889,91,277,778,106,42,301,148
3062,36,3782,133,274,852,103,42,629,163
2738,57,3904,128,284,821,90,48,311,141
2574,36,3863,82,282,824,82,42,386,133
2279,41,3099,81,241,755,80,43,285,103
1716,23,2158,85,149,501,64,32,226,82
1840,43,2354,68,165,513,63,26,264,90
2379,39,3452,90,243,711,98,38,290,108
2512,34,3758,107,275,867,86,41,340,120
2764,46,3764,113,257,795,113,39,337,136
2453,37,3411,104,246,793,68,42,352,125
2123,60,2930,79,229,702,72,25,316,135
1718,34,2225,87,156,444,56,31,246,75
1923,39,2492,73,187,675,78,33,232,93
2390,42,3349,94,254,803,55,25,362,128
2363,52,3267,135,286,766,92,39,325,130
2310,44,3195,129,289,804,77,41,328,116
2199,42,3072,113,280,843,63,52,340,131
2000,28,2750,95,201,668,68,44,298,80
1643,26,1988,85,146,579,39,30,232,101
1817,37,2210,74,171,598,54,27,267,100
2233,51,2914,110,220,774,72,35,269,126
2005,55,2591,108,219,767,62,33,300,102
2224,34,3218,123,249,729,66,47,301,144
2104,39,3040,93,245,713,68,37,286,111
1932,28,2532,73,204,685,67,26,272,116
1475,28,1796,76,157,455,44,20,205,72
1779,35,2317,97,186,482,64,26,240,106
2440,51,3294,92,261,696,92,30,345,114
2385,31,3238,119,258,695,74,27,364,127
2280,48,3208,129,263,672,74,44,350,108
2198,28,2720,113,272,703,71,33,294,118
1858,37,2422,75,238,618,61,26,300,100
1477,21,1737,71,124,429,35,24,172,64
1564,25,1947,93,143,495,50,31,216,71
2162,52,2689,96,235,628,89,39,299,122
2206,34,2751,123,220,625,83,24,271,99
2125,38,2674,102,241,651,66,35,267,120
2087,36,2341,103,245,605,68,23,253,114
1678,37,2071,68,177,549,66,21,237,71
1602,21,1510,57,121,429,27,21,175,71
1666,29,1954,78,174,426,39,11,174,69
2038,28,2562,97,184,561,62,30,241,78
2133,28,2643,97,206,657,66,36,246,109
2247,34,2718,105,247,667,81,30,315,107
2157,37,2480,92,262,610,84,34,289,79
1823,29,2147,89,192,583,48,25,261,86
1613,29,1728,59,162,464,34,25,175,55
1991,26,1933,77,120,443,47,19,197,72
2308,46,2797,97,212,785,80,33,278,102
2306,37,2683,109,221,689,64,43,301,104
2060,38,2465,89,243,674,60,33,266,82
2188,44,2554,98,247,661,57,36,326,86
1789,41,2137,98,168,686,52,27,281,92
1517,33,1781,50,161,447,34,13,211,54
1784,27,1888,84,89,494,63,30,175,52
2250,35,2808,119,218,601,66,18,321,130
2212,45,2870,96,242,703,74,37,343,102
2112,30,2814,114,243,627,57,27,336,120
1939,31,2654,113,242,625,60,25,301,119
1826,59,2347,77,250,597,68,32,251,76
1613,26,1774,94,146,417,55,22,190,54
1727,36,2061,87,153,505,50,35,196,84
2374,42,2939,102,260,697,69,53,304,90
2417,37,2801,104,241,629,61,25,287,100
2227,38,2577,82,247,649,72,33,307,113
2139,47,2498,114,286,576,86,46,315,107
1880,34,2228,96,349,575,90,65,230,98
1575,33,1758,81,194,467,57,27,187,70
1717,23,2212,96,190,475,48,31,178,47
2096,37,2486,106,340,618,70,42,305,97
2505,47,2735,135,291,628,74,24,320,91
2065,50,2820,144,284,623,91,47,272,111
2134,51,2646,104,262,586,69,43,262,70
1771,41,2184,90,246,594,71,35,252,91
1421,37,1698,60,175,390,45,23,236,84
1594,52,2017,82,185,472,60,34,225,96
2016,48,2841,94,299,554,93,45,331,116
2061,35,2583,107,295,605,76,40,358,117
2128,38,2701,114,352,601,62,32,356,99
2001,42,2453,99,316,609,90,48,304,124
1743,39,2082,79,231,483,56,29,257,85
1550,24,1628,68,170,371,53,24,208,72
1665,34,1918,74,223,400,47,19,194,68
1894,35,2384,104,272,611,58,29,234,74
2191,40,2668,104,255,595,56,23,321,80
2010,40,2596,111,254,604,77,35,287,77
1852,37,2312,93,275,531,68,31,267,76
1899,41,2258,89,229,533,62,20,274,88
1594,41,1814,75,137,396,63,29,205,50
1695,38,2502,74,164,441,52,25,213,66
2120,34,2701,105,217,570,50,34,286,81
2151,40,2771,119,273,605,87,41,266,114
2175,40,2783,94,269,592,84,36,264,100
2048,54,2592,78,274,550,88,35,266,119
2249,46,2140,108,217,489,65,19,289,91
1770,42,1733,103,173,478,44,22,238,82
1772,27,1970,84,165,428,59,20,229,74
2192,42,2476,97,263,639,97,40,308,88
2263,50,2764,116,271,737,112,34,324,77
2334,67,2620,107,283,676,105,44,300,118
2446,53,2804,101,323,643,86,50,275,100
1972,38,2369,95,285,579,103,34,278,86
1760,49,1778,84,167,456,60,23,207,53
1826,29,1939,58,152,517,47,25,209,61
2106,37,2593,93,215,603,72,45,279,70
2563,42,2987,107,284,627,84,36,312,119
2523,38,3002,102,310,618,89,29,300,85
2443,29,2976,88,261,656,54,31,295,104
2354,60,2789,94,248,638,78,36,269,92
2332,51,2373,99,179,743,59,32,236,66
2267,34,2559,89,186,809,81,29,229,70
2660,42,3355,101,260,861,94,42,269,93
2824,37,3449,115,297,804,93,46,272,98
2894,45,3497,116,353,803,82,31,306,88
2937,58,3560,155,336,802,92,48,320,102
2847,45,3599,119,236,797,63,30,360,101
2810,36,2510,98,190,712,81,42,229,67
2851,44,2878,80,196,694,96,28,259,62
3417,60,3791,119,283,922,108,34,339,100
3706,72,4288,110,319,820,110,44,354,109
3399,48,3973,143,317,853,114,35,380,122
3395,59,4035,111,366,795,93,41,304,103
3124,57,3593,123,284,792,78,38,301,127
2745,41,3464,125,189,558,76,41,259,84
2825,45,3041,138,225,733,80,36,203,66
3488,40,3845,134,343,814,99,54,290,114
3194,54,3941,231,388,842,87,46,399,84
3143,54,3892,150,339,806,101,47,372,104
3355,63,4098,142,351,833,87,22,382,107
3338,53,4399,165,360,750,90,53,348,101
2815,44,2898,129,219,642,71,32,281,101
3221,44,3371,121,269,705,98,40,283,98
4067,64,5072,175,400,984,104,54,467,132
4125,43,5111,181,441,1005,129,61,483,139
4102,62,5213,199,349,950,101,42,380,126
3513,76,4695,170,381,784,120,48,407,132
3472,40,4286,162,368,750,105,40,298,130
2117,32,2140,112,181,493,59,27,212,60
2842,47,3371,149,229,760,89,44,269,106
3352,58,4467,183,368,761,82,56,386,135
3861,69,5001,196,429,841,113,47,438,142
3707,64,5089,183,394,944,138,63,434,128
3514,57,4970,189,383,895,132,61,380,105
3212,50,4223,159,357,784,101,51,398,149
2422,37,2788,90,198,577,67,36,236,93
2632,45,3120,107,270,574,88,43,259,120
3724,46,4844,211,389,869,126,54,435,172
3993,68,5112,168,391,953,137,70,410,141
3774,61,5180,193,434,994,119,51,421,140
3771,47,5554,178,364,940,133,49,439,130
3123,54,5348,125,324,895,90,50,311,110
2307,48,3326,125,229,598,64,30,280,89
2614,43,3946,115,258,679,92,49,286,100
3627,54,5621,199,397,876,110,55,426,174
3743,77,5784,159,422,998,132,62,435,168
3829,65,6648,204,397,1141,128,58,454,177
3896,62,6347,163,405,905,107,54,460,155
3421,62,5355,192,391,790,90,43,385,123
2727,35,3982,111,254,721,107,46,308,110
3041,42,4513,163,269,781,100,39,354,138
4058,67,5805,245,434,965,128,58,459,161
4059,68,6191,179,424,891,122,54,497,165
4275,58,6636,185,435,919,123,65,464,140
4102,61,6357,137,485,972,132,75,469,169
3740,55,5482,174,380,795,91,51,396,149
2801,42,4124,119,316,615,102,33,312,86
3274,58,5249,138,293,890,98,54,323,115
4270,68,7025,207,557,1128,147,80,435,162
4433,87,7087,179,430,1165,124,58,501,179
4374,62,7097,174,492,1049,137,70,450,146
4128,81,6404,182,455,921,143,63,479,133
3446,53,5203,134,389,688,83,50,374,115
2849,49,4097,102,300,515,61,42,309,110
3170,55,4603,127,302,624,112,37,355,103
6676,65,6853,180,495,941,122,64,442,177
4542,101,6620,204,536,878,146,76,547,177
4320,92,6411,187,557,848,111,77,540,147
4194,105,6564,182,645,971,141,64,543,150
3669,57,5398,155,377,706,103,59,402,114
2948,87,3088,113,259,593,87,50,303,113
3367,74,3633,137,401,698,107,55,332,119
4348,110,5412,178,643,970,149,74,469,186
4268,88,5469,165,658,917,133,69,512,187
4005,92,4769,163,493,859,138,75,456,122
3285,94,4005,141,467,729,108,60,390,110
3013,90,3466,115,342,616,106,60,341,111
3022,79,3158,108,317,554,87,48,343,108
3494,72,4051,157,429,733,94,55,478,149
4581,59,6280,171,639,932,125,86,556,210
5576,70,6101,214,624,1066,167,71,600,203
4603,77,5480,184,480,1042,131,58,561,151
4761,68,5654,193,492,1178,157,81,517,168
3912,49,4596,148,414,759,107,53,439,130
3081,43,3232,136,338,713,105,39,334,105
3428,49,3992,142,313,669,108,46,383,120
4437,65,5680,142,494,900,137,67,500,172
4644,62,5946,151,450,1024,132,65,478,169
4496,59,5534,164,493,849,124,65,468,194
4278,72,4971,153,507,804,122,66,427,163
3695,49,4411,144,377,736,111,54,375,132
3094,36,3168,107,247,496,74,26,335,105
3278,47,3574,110,272,535,85,60,387,101
4383,60,5330,173,446,939,120,75,525,168
4675,83,5350,201,488,1010,129,63,507,168
4486,105,5404,150,452,925,126,51,412,143
4126,74,4823,157,392,873,110,51,451,131
3671,51,3942,118,338,742,83,67,385,119
3037,37,2845,123,234,591,82,35,336,85
3256,42,3118,106,210,601,97,34,328,109
4274,70,4196,158,315,740,82,46,423,112
4503,63,4342,173,414,1200,95,57,442,128
4223,98,4190,156,464,1144,174,66,445,144
3950,71,3553,148,418,900,116,36,386,116
208,1,167,7,15,62,3,0,27,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1391,10,1186,37,81,162,16,9,131,35
4282,55,3890,165,307,718,84,45,366,123
4724,64,3874,145,324,813,96,52,415,120
4650,51,3744,149,346,684,106,36,447,101
4334,61,3707,101,307,662,99,55,417,110
3378,77,3161,96,347,972,143,53,375,89
3054,39,2809,102,208,743,90,40,372,113
4077,60,3924,127,296,876,104,62,494,173
4993,75,5673,175,378,960,146,71,537,192
5228,77,5887,175,402,993,131,48,512,169
5078,68,5697,169,419,1053,166,75,530,169
4303,67,4859,167,386,826,112,51,510,172
3433,54,3558,127,290,767,106,36,380,111
3751,54,4112,150,288,830,109,64,433,101
4589,66,5709,171,513,1023,168,55,633,274
4434,75,6156,213,480,976,172,79,573,169
4526,61,6166,244,455,1018,162,72,583,192
4129,73,6102,174,502,927,149,68,633,185
3743,58,5189,184,421,796,137,55,515,166
3125,61,3409,125,310,662,95,50,370,109
3514,58,4058,134,303,770,95,43,464,131
4195,73,5472,147,473,921,137,50,533,151
4382,73,6223,157,549,975,131,47,595,181
4152,46,6089,138,525,872,76,42,894,149
4309,51,5788,162,487,917,121,46,658,158
4204,71,5112,148,537,1219,163,49,648,162
3173,51,3677,136,432,1939,140,47,468,95
3333,73,4180,115,388,1566,117,55,431,109
4203,66,5744,129,607,1542,175,64,610,172
4133,89,6110,139,672,1071,166,68,748,179
4234,64,6072,166,568,1009,184,76,666,169
4270,66,6344,210,733,998,176,68,601,160
3800,67,5186,156,594,981,141,55,539,141
2871,60,3533,104,392,744,107,45,448,67
3250,55,4264,126,418,828,133,45,447,115
4326,76,6207,176,692,1046,159,77,604,183
4346,77,6503,148,804,1083,171,77,641,174
4119,70,6590,148,779,1216,187,47,639,176
4052,76,6448,174,833,1153,214,103,620,199
3637,63,5402,92,708,955,177,58,565,155
3061,56,3626,106,490,765,122,52,418,94
3463,67,4183,135,474,900,108,43,420,104
4249,81,5989,153,796,1046,201,67,621,167
4363,72,6409,159,854,1048,178,82,592,193
4625,74,6741,173,906,1126,179,63,644,186
4466,68,6797,142,858,1052,206,77,576,187
3807,60,5819,108,766,910,175,67,545,151
3122,59,3943,111,482,723,149,51,410,94
3496,63,4371,124,531,861,158,49,440,117
4471,82,6819,174,901,1380,212,98,675,187
4369,75,6531,186,923,1117,183,64,686,181
4238,84,6609,214,962,1047,212,66,701,176
4132,81,6983,208,1024,1070,235,85,703,193
3861,89,6481,155,959,1107,222,80,718,159
3129,53,4351,113,694,921,153,62,518,126
3426,75,4830,132,581,905,173,72,524,129
4265,106,6629,176,917,1271,254,87,639,173
4614,87,8191,234,1236,1251,271,80,700,184
4534,89,7382,154,1315,1149,293,84,736,168
4128,88,6935,377,1223,1157,277,90,726,181
3787,93,6348,277,1118,1121,247,80,746,212
3107,67,4399,160,734,859,156,42,521,128
3312,73,4878,158,722,915,192,87,534,141
3990,95,7374,216,1125,1120,279,88,598,180
4140,152,8493,203,1285,1383,347,69,801,202
4355,92,7637,219,1283,1242,332,86,794,192
3624,100,6875,208,1184,1202,259,71,779,203
3393,73,5904,171,1139,1019,219,53,695,184
2865,46,4250,122,764,785,170,88,516,132
3095,69,4949,123,842,920,174,61,533,141
3887,95,6756,242,1268,1235,268,78,719,192
4044,105,7285,237,1549,1291,296,83,730,178
3866,176,7415,197,2314,1429,319,86,777,188
3142,87,6735,175,1471,1281,262,84,784,143
2453,71,5754,154,1299,1181,217,74,732,94
2555,67,4055,131,882,835,142,61,602,103
2831,69,4356,175,716,931,148,46,561,151
3579,140,5769,210,1201,1215,215,56,725,166
3379,98,6190,164,1099,1326,213,54,758,183
3069,83,5936,187,1136,1254,260,82,716,155
2933,81,5526,166,1082,1269,213,56,765,217
2535,72,4768,141,1032,1144,214,79,612,163
2002,41,3084,96,559,780,117,53,479,100
2183,46,3486,120,549,747,134,58,403,117
2872,75,5497,172,946,1076,263,86,647,160
2981,90,5713,151,1057,1128,204,71,677,161
2748,64,5266,131,3354,1101,216,73,573,152
2597,71,4834,134,906,1021,201,70,525,163
2296,59,4093,117,755,921,141,66,471,145
1732,41,2729,76,458,787,96,35,371,83
2053,55,3352,102,461,895,119,50,377,98
2778,61,5239,125,859,1201,208,75,622,168
2845,69,5019,107,755,1083,191,72,550,148
2698,72,4900,160,796,1234,166,70,615,164
2514,79,4710,107,791,1094,199,66,603,172
2308,38,3809,110,774,945,156,56,472,190
1800,37,2595,87,420,676,88,36,373,106
2013,43,2930,101,467,685,139,61,400,153
2659,60,4499,138,875,1272,173,76,596,212
2509,67,4565,158,859,1175,194,99,619,171
2637,67,4161,136,766,1046,162,67,574,134
2243,74,3789,114,659,1052,170,59,533,197
1915,34,2945,85,546,1129,168,71,552,139
1678,31,2489,112,358,963,89,46,442,117
1999,51,2706,103,392,895,94,45,370,109
2270,98,4092,131,594,1278,172,56,586,176
2595,76,4484,124,724,1521,163,81,556,189
2597,67,4496,155,729,1548,147,58,617,160
2584,67,4077,121,662,1234,168,75,585,166
2320,65,3743,140,623,1202,131,62,512,155
1776,43,2691,94,393,676,111,56,366,109
1931,50,3033,96,403,734,117,55,368,108
2600,67,4473,127,649,1393,185,60,580,201
2706,67,5136,151,698,1240,159,62,578,199
2731,51,4877,122,689,1174,174,75,581,154
2443,51,4461,121,675,1102,146,53,526,156
2204,50,3730,111,524,1021,144,69,479,148
1639,60,2789,76,365,867,120,51,409,93
1921,54,3135,79,353,874,107,40,463,151
2799,56,4801,141,624,1309,161,64,623,196
2892,54,4927,187,639,1203,185,81,643,190
2914,71,4882,142,571,1151,157,58,723,176
2847,57,4742,146,586,1139,183,70,649,179
2580,56,3941,118,483,1042,133,51,545,169
1980,39,2909,101,403,700,99,68,404,100
2192,59,3195,96,377,789,116,48,434,145
3018,66,4873,125,544,1042,166,86,557,149
2957,74,4964,160,562,1001,129,80,533,164
3132,61,4907,133,574,1063,144,64,616,183
2990,82,4882,142,628,1221,161,58,599,170
2574,37,3896,110,488,913,124,70,578,186
1928,27,2885,108,340,711,113,55,376,121
2273,31,3238,105,399,734,103,61,342,118
3010,64,4771,123,674,1154,113,63,531,175
3252,60,4880,153,620,1087,160,82,531,162
3067,59,4697,158,623,1071,161,80,544,210
3000,64,4688,131,541,1007,131,73,521,180
2691,58,3796,120,459,894,127,75,467,158
2018,25,2517,73,280,626,81,54,365,107
2185,41,2835,94,304,726,88,51,357,117
3058,73,4549,113,472,968,136,75,495,177
3106,66,4363,132,480,1000,144,71,536,166
3009,47,4403,115,527,931,137,57,501,134
2879,47,4305,133,458,895,115,44,488,135
2514,46,3566,99,390,808,107,45,406,115
1900,42,2362,82,296,640,74,32,355,95
2127,31,2879,94,285,672,110,51,381,98
2876,45,4082,120,417,923,126,54,438,171
2958,44,4381,157,472,1036,126,60,512,186
2723,55,4414,110,478,1038,126,50,466,149
2740,51,4485,117,511,1023,91,44,457,154
2217,52,3631,100,390,847,76,41,387,166
1834,36,2632,83,243,801,76,35,296,85
1912,29,2695,75,241,643,97,61,274,100
2321,40,3532,109,329,864,98,45,371,124
2645,54,4147,144,416,981,131,46,426,158
2680,54,4101,121,451,917,119,54,439,140
2556,55,3995,114,481,838,97,47,447,149
2261,41,3247,105,409,705,61,45,394,112
1878,36,2451,79,280,658,66,51,313,99
2114,32,2757,73,229,748,73,34,282,107
2673,58,3890,153,397,876,99,56,437,156
2786,43,4096,134,447,998,70,42,395,164
2619,35,3951,131,422,867,90,52,455,153
3339,46,3584,129,351,827,123,41,394,155
2126,34,3019,106,329,726,62,47,358,108
1874,26,2450,73,215,574,62,32,273,105
2026,36,2970,128,245,657,106,43,319,139
2567,34,3592,143,367,890,97,55,458,158
2588,45,3952,146,416,968,97,42,456,148
2511,39,3771,177,406,847,105,51,462,142
2583,40,3644,165,451,922,95,54,391,146
2204,27,3029,179,383,923,91,40,401,145
1939,37,2501,145,306,626,67,29,311,116
2064,31,2620,154,321,621,54,39,328,150
2624,57,3724,178,417,834,96,64,435,121
2704,42,3679,171,426,843,82,41,416,158
2439,49,3590,122,421,880,114,39,389,113
2414,65,3476,135,418,1015,114,61,462,139
1978,60,3876,115,560,1115,88,49,453,132
1851,39,2707,101,408,683,84,46,346,82
2065,39,2592,107,339,702,65,35,344,108
2603,47,3430,137,400,904,134,68,459,117
2767,60,3659,165,518,1577,115,57,419,176
2425,48,3701,130,487,1120,117,57,393,115
2265,42,3403,139,456,994,113,58,344,111
1928,49,2727,143,433,698,77,41,331,107
