en-Common_cold,en-Human_flu,en-Influenza,en-Influenza-like_illness,en-Influenza_A_virus,en-Influenza_A_virus_subtype_H1N1,en-Influenzavirus_A,en-Influenzavirus_C,en-Oseltamivir,en-Zanamivir
1702,33,2168,97,258,606,51,44,228,60
1881,33,2488,122,266,639,52,31,236,76
2412,32,3274,154,430,793,96,47,356,114
2505,72,3236,147,499,852,83,40,376,149
2398,60,3155,175,481,944,99,58,344,153
2362,42,3051,137,458,859,91,56,319,129
2108,57,3130,146,497,1020,83,49,396,106
1810,36,2230,127,295,687,61,41,260,86
2099,50,2504,119,280,1006,55,27,279,94
2672,42,3370,139,448,988,87,41,376,106
2667,60,3422,155,607,1019,81,44,440,126
2599,91,4070,175,638,1162,106,49,432,149
2460,60,4223,147,516,1063,92,29,417,137
2069,52,2845,120,464,849,75,38,344,102
1761,38,2281,108,291,717,78,37,331,85
1932,56,2668,122,317,736,89,29,311,106
2703,51,15152,184,596,1119,90,39,438,102
2716,63,3486,165,544,1027,111,52,454,140
2557,62,3446,157,515,897,100,48,465,142
2357,61,3313,126,545,870,90,43,431,127
2009,57,2806,142,458,858,72,50,368,112
1880,40,2277,140,294,639,57,38,283,57
1949,38,2709,119,324,1120,70,39,299,64
2412,69,3478,148,525,1315,86,45,443,114
2486,45,3673,168,603,1153,110,49,406,139
2479,84,3816,177,620,1186,117,54,436,154
2207,57,3418,150,598,1125,94,40,402,123
1950,54,2886,180,598,1029,84,44,379,100
1712,49,2271,121,384,780,62,34,280,67
2027,29,2560,116,371,790,63,32,247,74
2376,55,3346,202,542,1049,96,41,392,100
2353,84,3960,232,679,1144,207,72,442,115
2605,63,3653,201,661,1138,153,78,416,128
2093,66,3208,178,629,1095,114,37,375,110
1887,34,2810,159,577,944,90,48,347,99
1646,39,2312,154,348,846,69,35,291,70
1858,59,2750,157,293,861,62,48,270,109
2061,42,3186,203,569,926,80,37,414,149
2286,62,3285,199,569,953,102,43,439,146
2256,55,3184,221,647,1134,117,48,372,137
2339,64,3261,328,851,1270,125,60,401,101
1963,74,2896,182,625,892,89,65,378,104
1750,46,2165,145,383,754,60,39,284,109
2018,27,2459,209,367,734,65,42,304,80
2396,71,3320,224,591,958,114,61,399,90
2408,53,3467,174,639,928,97,50,460,133
2343,48,3394,215,631,936,105,50,402,144
2025,60,3082,197,599,908,130,38,427,116
2170,52,2974,177,556,767,90,51,398,109
1676,31,2235,134,306,599,49,28,270,79
1846,37,2328,160,270,602,62,37,303,102
2377,47,3260,199,603,803,100,47,403,112
2616,40,3492,205,624,1045,84,27,415,108
2616,76,3681,213,839,1211,99,47,435,125
2517,67,3566,242,586,1152,115,51,521,121
2198,57,3143,205,539,893,83,55,395,115
1955,38,2226,140,377,750,46,36,288,64
2118,66,2813,181,348,759,146,55,296,102
2768,60,4097,236,1428,1026,137,55,382,129
2833,53,3852,219,770,951,136,54,455,121
2988,51,3972,195,602,1078,106,44,376,133
2675,58,3829,209,648,1062,96,57,393,105
2396,46,3145,210,514,884,74,48,340,99
2234,48,2652,170,363,790,66,35,283,67
2439,57,2870,175,381,742,68,49,304,89
2768,51,3675,232,466,1022,102,46,349,135
3145,46,4206,241,536,1022,88,53,450,115
3252,57,4458,235,598,1062,109,72,453,137
3121,52,4333,254,543,973,118,52,406,141
2881,45,3535,203,432,904,79,35,373,157
2479,49,2797,146,335,726,80,47,322,101
2819,53,3476,197,361,701,66,45,319,106
3535,67,4767,235,545,1131,86,52,468,139
3664,59,5086,251,600,1248,101,47,481,172
3627,51,5081,232,658,1114,112,63,443,176
3647,67,4785,293,543,1082,111,53,510,157
3258,45,3937,221,481,877,108,52,447,96
2874,41,2981,212,304,648,50,35,302,90
3320,45,3688,177,348,741,87,37,326,115
4144,41,5234,283,528,1107,110,50,432,134
4139,66,5240,266,534,1181,99,55,508,143
4162,54,5426,268,501,1028,117,59,447,138
4192,34,5067,268,521,1025,115,55,484,174
3825,49,4408,242,373,909,90,60,438,120
3277,53,3215,211,278,693,71,54,306,111
3742,48,3941,209,355,805,81,60,321,152
4995,71,5717,299,530,1131,110,62,514,199
4898,70,6063,262,519,1590,144,67,489,179
4796,65,5873,281,526,1498,116,63,507,141
4358,76,5419,243,480,1162,115,63,551,151
3826,83,4913,216,434,1075,88,54,476,136
3382,49,3711,171,304,700,59,39,349,103
3764,53,4566,211,348,834,87,70,373,85
4589,81,5852,286,508,1130,99,57,468,136
4606,56,5958,260,555,1089,87,68,565,124
4714,71,5820,293,556,1167,127,74,484,138
4620,86,5506,395,544,1209,123,60,466,147
3944,45,4616,360,459,931,101,46,528,152
3241,46,3392,210,360,762,64,39,430,134
3646,43,4127,232,402,789,86,69,345,147
4800,68,5486,292,570,1205,96,78,515,166
5041,76,6220,320,648,1371,118,78,594,184
5007,55,6294,322,568,1218,114,72,513,157
4599,67,5448,338,588,1127,98,65,533,179
3790,39,4466,237,429,946,75,45,430,165
3321,61,3500,202,339,800,63,43,317,100
3629,58,4375,231,380,765,84,65,352,132
4693,90,6126,276,616,1235,123,71,533,192
4465,61,6498,291,554,1281,106,71,556,197
4508,62,6476,336,549,1133,132,73,499,155
4022,76,6043,296,540,1112,124,51,459,179
3461,43,5269,232,409,931,130,57,510,171
2711,50,3699,195,353,727,74,61,327,104
3667,82,4914,223,336,795,91,63,355,124
5932,78,6273,278,604,1128,164,71,486,152
4160,83,6135,281,636,1101,156,84,504,169
4211,68,6066,301,566,1003,134,60,508,206
3965,79,5513,248,529,1047,113,63,523,205
3302,79,4855,226,454,916,92,58,454,156
2794,59,3395,182,318,722,63,61,371,117
3208,53,3852,207,355,797,80,63,369,115
4031,49,5522,286,603,1164,114,56,525,207
4057,51,5975,253,588,1086,140,62,482,153
3775,84,5670,272,600,1078,144,61,599,192
3682,66,5373,281,611,1037,122,58,615,141
3395,53,4757,233,496,994,102,52,565,134
2830,56,3771,205,364,832,94,49,424,110
3219,63,4627,208,434,935,138,86,436,123
4271,79,6294,288,717,1267,148,67,576,225
4014,93,6431,269,688,1140,151,69,592,198
4093,74,6456,281,710,1180,140,69,629,206
4102,77,6231,295,703,1098,125,89,609,196
3674,57,5404,233,630,966,130,66,564,161
2978,44,3813,200,327,727,90,38,411,130
3236,52,4442,272,426,954,114,66,445,142
4218,82,6670,381,766,1353,117,108,874,299
4296,64,7104,314,801,1207,156,95,1194,225
4348,93,6977,323,793,1279,132,85,939,280
3969,76,6826,291,812,1249,148,61,824,191
3596,62,5460,280,657,1099,102,67,670,190
2950,44,3878,245,433,708,108,53,541,139
3326,54,4496,221,520,807,108,66,627,120
4505,84,6432,309,848,1126,132,71,1628,165
4407,80,6381,328,837,1350,130,68,1186,186
4000,75,6084,301,741,1122,135,74,868,186
3460,57,5363,253,567,915,96,39,783,133
2939,47,4480,220,508,959,97,52,733,112
3232,86,4702,235,473,1018,95,67,604,98
3756,54,5129,252,577,1018,96,56,765,140
4837,99,7013,358,956,1400,138,71,877,200
5277,94,7273,375,1092,1321,166,86,919,202
4942,85,7132,348,958,1374,183,87,967,176
4479,89,6811,352,979,1274,154,73,843,171
4069,80,6053,342,896,1213,130,76,787,156
3333,62,4506,311,645,956,98,43,808,102
3688,63,4941,322,633,1063,112,71,840,149
4879,107,7648,435,1220,1511,189,97,1070,187
5077,141,8987,402,1390,1748,250,117,1448,197
5113,115,8772,368,1613,1846,203,104,1682,216
4742,116,7984,375,1395,1449,189,110,1524,180
3961,90,6934,342,1281,1181,144,97,1439,173
3219,68,4848,294,961,906,134,70,1165,135
3736,80,5646,265,877,1002,137,68,1096,138
4651,120,8003,338,1489,1286,234,110,1426,190
5069,107,8775,394,1589,1353,181,103,1613,183
5069,106,8265,364,1587,1317,217,116,1523,197
4734,117,7568,323,1598,1279,189,78,1410,224
4200,109,6618,308,1493,1115,173,81,1317,161
3358,80,4715,242,1026,839,117,67,1111,93
3868,83,5246,237,1070,884,113,60,1181,130
4952,117,7427,354,1832,1193,195,107,1634,201
4922,104,7812,367,2102,1237,205,84,1901,190
4874,121,7680,335,2266,1295,209,93,2069,216
4619,126,7186,315,2251,1341,193,109,2012,202
4024,121,6130,285,1898,1202,180,80,1905,150
3761,80,5443,273,1563,1018,157,63,1991,124
3853,85,5432,254,1352,952,128,71,2050,126
3867,82,5536,230,1494,925,132,63,2595,117
3119,62,4720,216,990,748,99,47,1908,112
4507,112,6795,305,1726,1001,193,88,2168,175
5119,141,7778,411,2468,1109,208,101,2748,174
5358,143,8053,370,2622,1395,203,94,2747,195
5089,92,8079,335,2094,1381,154,87,2695,159
5152,84,7306,297,1802,1535,120,78,2277,130
4887,116,7316,315,2006,1290,172,71,2363,147
4016,85,6291,279,1437,1088,141,79,1860,134
6072,146,10093,411,2327,1653,246,98,2485,217
6041,161,10014,447,2698,1633,287,135,2930,241
5848,179,11280,487,2764,1933,262,134,3134,343
4883,163,10648,483,2055,1606,226,92,3019,255
5202,129,9763,437,1821,2094,230,134,2595,245
6222,200,13690,642,2548,2598,294,130,3452,326
5962,237,15047,690,3135,2382,334,147,4386,496
6299,247,16973,800,3393,2494,412,202,5066,363
6145,454,24464,890,3648,2820,580,280,6490,501
5272,388,23591,1012,3568,2924,545,251,7184,491
4303,420,16949,599,2446,1871,347,169,5340,377
4548,196,14658,644,2127,1709,276,156,4336,281
5384,267,17029,717,2912,2241,387,215,4847,414
5478,275,18029,681,3096,2450,385,188,5446,493
5427,244,17011,620,2830,2251,346,156,5058,417
5399,207,15778,628,2700,2251,320,161,4211,382
4689,298,14082,749,2302,1974,274,133,3976,402
3977,320,10457,549,1708,1566,188,92,3223,270
4267,273,10648,553,1457,1411,186,103,2753,268
5100,173,13037,544,2251,1798,248,136,3236,379
5826,184,14534,742,2694,1984,301,159,3802,429
5635,216,14003,674,2723,2251,300,141,3696,394
5383,173,12667,543,2436,2184,239,119,3535,306
4758,161,11738,446,2119,2378,225,134,3061,306
4078,104,8716,405,1567,1402,161,72,2484,195
4440,95,8972,439,1310,1329,175,111,2334,226
5452,174,12832,560,2272,1997,227,105,2864,324
5242,140,12253,605,2438,1916,260,143,2968,297
4875,156,11615,562,2403,1913,218,127,2872,281
4684,133,14483,544,2122,1703,223,113,2535,286
4349,123,9054,577,1916,1601,189,100,2448,299
3665,80,6951,347,1332,1236,114,78,1979,158
4486,101,7512,400,2221,1276,136,95,2007,225
4708,117,9526,517,1628,1586,198,110,2069,252
4948,117,9824,570,1923,1775,199,107,2485,321
4927,111,9889,507,1931,1582,230,120,2210,277
4688,115,9504,443,1657,1904,203,101,2100,287
4126,112,8498,392,1446,2186,148,103,1994,256
3452,75,5949,307,965,1442,105,81,1591,193
3862,99,6325,343,867,1373,136,115,1514,189
4948,115,8776,438,1410,1885,191,156,1692,268
5057,134,9102,505,1477,2201,206,126,1917,276
4867,102,9021,433,1480,2327,168,100,1914,226
4468,107,8195,373,1318,1803,181,94,1786,268
4165,101,7436,386,1234,1593,152,98,1610,237
3458,79,5746,339,923,1396,115,89,1499,191
3860,80,6335,337,877,1590,122,80,1326,166
4665,67,8163,414,1280,2301,186,104,1591,243
5187,125,9077,491,1348,2315,216,118,1795,271
4993,106,8980,415,1203,2104,181,116,1794,267
4702,86,8557,388,1284,2073,178,98,1699,264
4089,89,7549,341,1141,1725,154,98,1698,331
3472,209,5567,328,786,1360,103,78,1272,200
3721,115,6338,328,796,1470,134,86,1324,219
4816,95,8553,441,1061,1803,159,108,1562,237
4808,105,8298,412,1190,1988,161,124,1591,249
4771,80,8553,418,1132,1859,192,97,1493,276
4506,99,8099,455,1229,1651,172,94,1428,223
3917,92,6928,368,1078,1435,151,81,1246,181
3224,72,5206,251,774,1020,114,52,1047,136
3718,71,5999,291,817,1173,110,64,1053,146
4764,91,8273,415,1116,1680,174,115,1316,212
4543,81,8013,360,1198,1589,155,133,1485,245
4616,85,8034,340,1074,1572,151,79,1387,264
4368,80,7771,320,1145,1547,149,100,1414,287
3792,84,6742,296,1050,1515,126,86,1244,214
3026,67,4867,251,725,1085,101,58,966,127
3372,67,5507,218,611,1202,95,61,952,202
4431,70,7203,379,999,1683,151,86,1287,224
4219,135,7583,388,1137,1614,155,93,1454,197
4329,82,7358,339,1072,1700,153,97,1355,260
4039,59,7271,356,981,1705,140,80,1395,223
3675,82,6301,258,848,1309,110,67,1108,169
2937,117,4418,241,631,1051,86,56,863,177
3221,55,4894,220,616,1248,78,49,842,189
4227,83,7164,259,980,1609,129,93,1323,307
4377,86,7088,336,993,1477,162,99,1287,313
4142,94,7035,291,1016,1669,151,98,1370,266
4115,77,6733,273,989,1466,158,99,1174,247
3634,73,5563,275,770,1304,90,65,1095,198
3273,55,4051,215,662,735,91,66,793,162
3764,64,4560,230,709,855,111,65,763,152
4893,91,6217,315,947,1191,165,75,1013,195
4637,82,6158,324,1036,1133,139,83,1057,235
4366,62,5654,286,913,1156,115,81,1010,184
4051,60,4985,264,853,993,104,79,885,142
3355,52,5051,227,634,880,79,52,771,186
2975,39,3491,201,549,670,80,56,612,141
2922,67,3872,189,755,1077,173,89,674,161
3486,88,5639,266,1120,1733,195,107,950,174
3757,97,6359,261,1100,1699,240,122,989,231
3742,94,6263,256,1339,2056,336,121,1119,276
3720,124,5914,278,1289,1993,295,150,1179,390
3383,136,5742,240,1293,2585,395,144,1309,381
2550,90,3914,236,968,1639,262,117,1136,309
3193,106,4283,219,705,1458,205,89,841,262
3804,146,6083,357,1016,1894,297,134,1241,426
3603,93,6212,301,1010,1730,317,115,1013,332
3586,116,5953,303,1078,1653,258,92,1004,282
3293,117,5412,262,1159,1578,224,89,1113,300
2978,122,4663,232,925,1282,202,68,858,263
2325,117,3502,179,656,1199,204,82,850,256
2671,72,4123,231,831,1373,223,79,826,275
3657,96,5719,288,1010,1675,248,80,1143,321
3512,104,5583,264,1132,1502,212,110,1080,273
3517,109,5699,255,1094,1565,189,90,921,336
3321,83,5737,304,1223,1558,228,91,884,255
2929,76,4685,273,808,1368,173,76,783,279
2212,61,3372,203,477,1042,151,80,638,183
2508,73,3931,222,582,1124,137,56,592,183
3589,99,5606,259,970,1476,220,90,821,274
3568,79,5341,286,866,1347,161,76,824,267
3699,102,5763,293,944,1871,224,106,1009,333
3580,111,5569,268,1226,1747,285,83,1015,295
3139,87,4507,252,1038,1398,172,70,780,255
2310,65,3113,193,671,924,109,59,568,197
2725,92,3698,211,706,985,134,71,578,170
3597,67,5135,296,1038,1368,199,90,781,240
3598,82,4764,287,940,1313,159,91,665,179
3285,70,4803,285,970,1270,157,85,751,181
3477,83,4969,308,942,1407,163,102,719,254
3053,83,4238,303,729,1449,135,84,766,220
2359,87,2868,211,517,983,100,56,437,139
2484,74,4069,226,602,983,118,68,410,157
3383,85,5209,332,991,1443,174,64,707,223
3554,83,5021,360,918,1275,135,93,637,237
3317,82,4845,275,826,1204,123,73,626,240
3435,103,4746,315,658,1259,118,64,625,249
2794,82,3907,287,656,1035,130,58,485,192
2132,55,2748,244,409,742,91,39,369,135
2411,43,3304,295,476,791,85,45,414,197
3522,79,5059,349,731,1251,150,94,594,262
3647,71,4583,374,607,1049,128,71,627,214
3574,56,6032,348,607,1139,109,50,633,183
3558,75,4982,348,671,1211,117,66,522,207
2926,48,3785,257,625,952,95,41,490,167
2207,46,2540,222,295,669,65,37,362,139
2376,52,3176,226,394,810,86,43,374,146
3276,57,4203,328,639,1114,115,64,472,171
3402,57,4375,333,759,1198,121,60,699,231
3359,77,4503,356,614,1827,115,58,583,205
3020,69,4323,302,575,1776,103,61,617,203
2803,68,3488,260,604,1364,93,48,516,162
2032,47,2450,186,459,1070,70,38,369,128
2257,39,2710,222,426,1034,60,45,384,147
3279,65,4650,303,579,1602,102,59,538,191
3220,93,4244,381,724,2160,109,56,856,234
3327,67,4387,310,774,1978,118,47,857,235
3077,55,4066,259,659,1879,105,56,578,211
2676,49,3244,261,579,1320,65,55,739,203
2159,35,2577,205,410,1334,64,34,433,146
2223,51,2968,216,563,1294,71,43,452,120
3503,68,4937,280,669,1584,99,56,553,178
2973,60,4137,300,534,1655,90,49,579,190
3036,71,4177,290,565,1702,95,39,554,165
2912,63,3774,234,644,1685,95,42,611,191
2709,61,3025,290,461,1333,95,38,530,163
2079,26,2294,185,268,943,62,25,371,133
2157,54,2607,200,312,934,79,33,408,104
2824,64,3797,284,583,1383,80,23,578,202
2835,44,3807,276,561,1382,87,43,531,200
2885,49,3506,218,506,1395,95,41,521,183
2685,61,3551,261,550,1263,89,45,559,170
2325,56,3067,235,406,1052,71,50,515,156
1786,44,2162,188,307,748,60,39,354,102
2075,54,2552,185,335,888,48,29,370,105
2612,62,3510,235,445,1113,86,41,517,180
2734,56,3507,278,520,1173,82,54,504,183
2673,43,3306,278,496,1226,72,48,513,216
2570,47,3192,244,538,1092,71,47,435,165
2218,51,2641,221,409,933,53,35,411,139
1843,38,2032,191,266,678,56,38,307,98
2072,49,2292,193,307,853,54,38,324,117
2770,77,3322,289,444,1099,92,39,527,197
2982,54,3075,299,454,1052,81,54,429,178
2636,57,3165,252,437,1003,90,56,456,165
2552,52,3231,234,415,936,73,46,400,127
2057,59,2314,206,301,825,66,31,421,119
1671,34,1929,179,280,573,55,45,236,90
1807,44,2178,174,204,660,64,36,293,120
2500,51,2772,201,378,776,74,71,457,130
2556,49,2989,233,373,900,74,28,390,134
2507,46,2784,205,364,927,76,41,617,134
2179,57,2650,207,304,823,58,43,557,119
1839,48,2231,167,294,821,64,27,394,98
1711,52,1769,117,255,639,44,29,282,53
1800,42,2243,143,194,744,42,24,259,69
2444,51,2771,230,392,920,70,42,422,130
2479,58,2913,197,392,1034,72,54,427,154
2380,52,2740,203,382,849,68,36,408,115
2304,61,2708,171,393,858,75,47,387,138
2111,54,2283,157,318,717,50,29,311,130
1535,41,1660,136,232,582,45,25,248,81
1820,31,1966,133,214,586,35,27,280,99
2544,59,2644,198,397,832,76,47,355,120
2453,59,2879,214,432,3586,85,36,438,134
2533,45,2980,182,433,1689,67,38,424,158
2269,59,2877,201,384,1050,63,41,404,95
2048,48,2363,152,349,942,78,31,344,118
1483,37,1757,130,219,604,61,33,262,73
1704,76,1998,146,225,657,54,30,285,85
2312,45,2750,187,341,929,71,39,465,109
1880,30,2199,154,300,688,49,21,332,91
691,9,883,70,115,290,21,8,114,29
1938,39,2368,180,326,866,61,24,337,104
1722,31,2187,154,252,1273,52,29,285,73
1445,33,1635,135,173,751,45,33,230,70
1607,31,1853,135,185,633,63,24,231,85
2108,53,2473,199,349,808,65,33,354,130
2131,41,2415,186,328,791,49,30,353,150
2087,35,2366,173,336,868,73,34,350,118
1898,34,2297,186,290,767,48,27,313,118
1760,36,2068,136,284,688,54,30,314,98
1571,30,1691,123,184,473,44,19,228,70
1645,29,2216,107,200,505,41,29,230,82
2060,35,2478,181,276,668,72,30,303,126
2128,40,2317,187,320,707,56,28,335,109
2085,67,2528,183,460,848,102,44,368,145
1926,46,2314,174,432,771,69,40,362,139
1912,36,1987,140,372,568,65,33,266,110
1604,35,1800,128,346,493,52,28,230,88
1755,27,1882,128,523,574,43,27,253,91
2154,40,2472,204,471,825,54,43,315,156
2398,99,2730,204,553,1078,74,38,491,156
2268,47,2743,191,495,1147,68,32,385,219
2182,54,2616,192,478,919,64,32,321,106
2034,63,2314,184,526,847,59,38,319,114
2142,40,1734,135,311,592,64,27,219,77
1772,43,2069,139,250,614,85,37,273,98
2276,76,2726,211,420,938,86,56,480,206
1918,65,2593,170,348,875,68,29,340,146
2133,63,2704,198,370,877,61,35,335,100
1963,66,2619,166,361,764,63,33,302,103
1845,51,2248,136,399,659,63,25,267,104
1482,53,1589,132,390,461,57,24,183,56
1768,50,1940,117,383,486,59,26,225,81
2109,61,2546,170,376,724,75,36,372,125
2182,63,2858,159,395,799,67,35,314,100
2263,64,2806,179,397,624,88,28,304,102
2294,51,2770,153,374,670,54,35,293,112
2269,41,2603,160,328,859,48,16,333,110
1707,54,1911,158,192,454,76,44,223,52
1851,32,2086,110,221,489,57,32,211,58
2171,36,2610,155,358,646,90,40,292,87
2532,65,2997,201,410,717,78,30,328,109
2519,50,3171,201,505,775,93,48,389,162
2469,48,3131,181,397,789,66,33,354,112
2334,53,2806,152,367,654,65,34,314,107
1964,42,2093,143,274,502,51,25,220,67
2208,55,2615,152,300,580,86,37,343,103
2851,56,3518,188,490,717,101,58,363,130
2992,63,3709,226,493,790,91,45,413,161
2852,72,3603,187,424,767,64,33,461,185
2826,51,3824,197,483,707,88,66,475,150
2721,62,3298,190,431,730,92,43,442,111
2248,46,2494,154,286,567,71,33,327,94
2633,41,2835,167,330,559,56,45,375,73
3328,73,3834,215,459,743,96,61,582,132
3605,80,4065,234,475,825,74,30,567,122
3673,76,3945,221,504,784,102,62,353,121
3349,68,3826,188,639,808,94,46,439,110
3085,72,3269,181,492,691,77,63,334,116
2547,47,2248,133,412,518,55,35,291,83
2865,72,2949,152,318,562,64,32,323,94
3583,64,4064,197,510,747,95,46,379,131
3575,74,4322,208,527,805,92,37,359,140
3735,60,4481,190,494,881,95,65,420,240
3406,86,3835,196,501,778,76,34,390,175
3081,51,3418,182,459,687,84,40,326,129
2507,45,2270,160,299,483,66,33,257,120
2797,63,2975,144,352,602,63,30,282,129
3593,70,3955,169,534,799,66,46,463,182
3795,55,4405,232,579,1310,68,48,491,178
3672,68,4377,190,582,1050,97,39,413,150
3531,58,4082,196,542,1511,79,45,400,144
3064,54,3422,164,444,1382,85,35,460,136
2384,40,2565,136,319,753,56,31,327,122
2641,70,2940,146,295,973,92,35,326,88
3481,62,4097,192,498,1513,105,60,473,163
3565,89,4426,234,551,1315,107,33,535,161
3356,74,4231,195,500,1066,107,50,462,152
3405,66,4123,208,527,979,86,61,439,157
2691,71,3513,167,397,777,91,61,384,132
2126,35,2381,163,287,567,64,52,282,110
2343,46,2759,145,299,617,64,70,377,97
3158,73,3951,188,536,916,114,60,480,125
3225,68,4117,194,471,972,100,50,423,164
3221,62,4908,192,510,933,112,54,471,158
3240,58,4608,209,488,1092,113,49,431,153
2915,48,3816,152,447,890,80,45,421,150
2269,48,2677,134,275,640,55,32,297,112
2381,49,3056,158,332,807,69,38,331,121
3387,58,4580,191,540,1211,112,67,455,153
3515,72,4403,185,523,946,101,55,476,171
3418,63,4512,192,505,964,94,44,489,154
3457,67,4097,166,569,979,88,48,509,182
3177,60,3536,217,503,803,71,47,400,135
2591,38,2477,185,306,576,77,39,274,111
2594,41,2886,142,333,579,51,33,311,110
3438,65,4291,210,584,969,87,51,445,496
3331,68,4258,226,578,982,105,59,480,312
3534,69,4158,180,620,985,109,59,498,253
3100,57,3976,203,681,907,96,41,411,208
2837,41,3010,162,438,704,69,28,407,173
2288,37,2403,131,285,642,59,34,286,123
2502,47,2931,143,320,642,63,37,381,143
3729,61,4411,196,555,957,84,58,462,232
3676,67,4270,212,478,938,110,57,488,191
3666,71,4950,197,517,914,88,54,540,187
3466,75,5061,220,592,1056,88,47,508,274
2843,59,3483,169,530,841,83,50,407,161
2489,48,2421,171,324,593,45,29,364,130
3230,52,2942,188,375,739,65,36,394,137
4277,71,4301,257,646,1182,84,48,691,184
4502,98,4481,274,756,1253,92,56,694,226
4783,67,4407,297,799,1222,87,42,765,214
4613,110,4487,285,796,1378,89,49,714,181
4207,136,4096,266,678,1522,88,60,620,156
3521,152,2909,267,522,1225,69,42,590,135
3530,111,3354,230,520,1083,62,43,563,101
4757,92,4787,255,800,1514,102,52,694,180
4489,122,4959,294,796,1392,91,54,687,208
3781,60,4892,242,651,1027,92,57,646,156
3791,84,4901,258,592,1050,84,46,610,154
3489,80,3804,243,551,980,81,60,490,129
2482,63,2524,182,394,721,70,36,415,89
2902,77,3041,183,446,743,81,49,453,123
4016,115,4238,282,666,1092,87,47,618,184
3864,126,4398,282,637,1017,82,53,652,181
3618,52,3894,242,586,990,97,44,565,158
2963,67,3529,133,457,859,68,44,459,124
2939,51,2954,185,427,781,55,41,498,87
2555,43,2594,188,348,618,54,47,474,123
2821,47,2957,213,383,621,80,47,468,119
3864,69,4386,259,700,989,122,53,670,194
4103,79,4630,279,810,1246,153,60,730,211
4435,125,5049,261,1052,1348,137,67,756,236
4298,128,4668,279,1047,1393,115,87,673,209
3646,118,3810,234,885,1281,95,75,666,184
3123,66,2827,192,545,870,75,56,503,144
3518,93,3803,199,558,1105,90,42,518,139
4565,118,4471,264,893,1386,117,57,722,221
4524,138,4560,274,1322,1642,140,79,750,277
4538,129,4626,310,1156,1618,119,80,690,185
3277,120,4465,278,1048,1009,120,71,652,151
2759,73,4008,192,969,852,116,39,629,189
2010,70,2874,179,643,675,70,50,518,89
2345,48,2936,159,569,632,91,38,415,105
3179,98,4144,214,1090,859,111,53,649,168
3167,98,4263,268,1304,906,134,65,788,167
3008,116,4155,316,1476,1147,167,71,846,155
3006,89,3809,238,1525,3486,165,67,911,144
2481,80,3173,209,1357,2793,137,61,892,121
2094,82,2325,158,978,2121,96,29,699,79
2313,75,2298,171,758,1306,93,47,708,89
2574,121,2941,215,1338,1648,123,43,809,102
2186,78,2467,157,1303,1390,138,39,814,98
1688,40,1932,139,638,1105,81,32,617,78
2520,87,2710,204,1410,1748,138,30,863,109
2779,118,3092,259,1867,2813,145,50,1013,118
2800,100,3063,196,1516,2946,141,83,900,101
2781,94,3207,202,1223,2576,134,64,829,108
3156,112,3824,254,1843,2621,169,72,1119,154
2979,154,3528,212,1871,3110,157,73,1016,134
2364,85,2648,163,1028,2253,112,44,743,109
3065,107,3830,297,1748,3200,163,60,1045,166
3425,140,4408,273,1868,5767,170,74,1233,181
2789,119,4185,242,1440,6380,175,63,1247,161
619,19,869,52,327,4288,49,20,248,29
1297,61,1898,112,862,2596,75,41,573,101
3888,156,5931,348,2192,7058,211,101,1250,223
3801,225,6136,353,2333,8076,274,102,1388,225
3880,232,6884,349,2640,8908,343,124,1706,267
3322,272,6123,343,2452,8800,330,139,1543,257
