"Measles","Sneeze","Measles_virus","Measles_vaccine","MMR_vaccine","MMRV_vaccine","Fever","Rhinitis","Conjunctivitis","Airborne_disease"
"2857.0","1007.0","24.0","43.0","983.0","38.0","4638.0","1027.0","4852.0","51.0"
"3539.0","1146.0","35.0","27.0","1013.0","31.0","5071.0","1033.0","5060.0","69.0"
"3908.0","1261.0","48.0","49.0","1774.0","74.0","6132.0","1349.0","6407.0","75.0"
"3718.0","1332.0","56.0","44.0","1663.0","35.0","6201.0","1333.0","6434.0","87.0"
"3516.0","1222.0","30.0","51.0","1699.0","65.0","5997.0","1299.0","5955.0","74.0"
"3668.0","1232.0","39.0","50.0","1591.0","65.0","5621.0","1360.0","5760.0","85.0"
"2827.0","1104.0","25.0","33.0","1109.0","45.0","4987.0","1105.0","5079.0","63.0"
"2476.0","1080.0","28.0","19.0","763.0","27.0","4453.0","849.0","4392.0","52.0"
"2739.0","1031.0","29.0","28.0","756.0","29.0","4992.0","898.0","4760.0","62.0"
"3701.0","1240.0","39.0","35.0","1156.0","62.0","6163.0","1240.0","6359.0","76.0"
"3135.0","1312.0","29.0","36.0","1201.0","61.0","6208.0","1225.0","5980.0","59.0"
"2766.0","1269.0","26.0","28.0","1079.0","51.0","5811.0","1136.0","5738.0","73.0"
"2572.0","1145.0","28.0","21.0","899.0","52.0","5036.0","1128.0","4977.0","64.0"
"2318.0","894.0","22.0","24.0","642.0","29.0","3876.0","809.0","3804.0","59.0"
"1906.0","760.0","11.0","9.0","415.0","22.0","3364.0","588.0","2975.0","53.0"
"2392.0","903.0","23.0","25.0","557.0","33.0","4594.0","854.0","3771.0","42.0"
"2552.0","1108.0","23.0","15.0","836.0","42.0","5491.0","1033.0","4550.0","45.0"
"2869.0","1219.0","20.0","24.0","936.0","42.0","5695.0","1222.0","5008.0","65.0"
"3261.0","1229.0","17.0","24.0","1076.0","51.0","6094.0","1255.0","5377.0","66.0"
"2920.0","1154.0","23.0","22.0","1038.0","40.0","5507.0","1135.0","4941.0","67.0"
"2422.0","1018.0","7.0","22.0","688.0","39.0","4852.0","904.0","4307.0","49.0"
"2210.0","884.0","19.0","15.0","596.0","21.0","4315.0","755.0","4200.0","64.0"
"2932.0","1240.0","10.0","24.0","809.0","20.0","5497.0","1058.0","5135.0","67.0"
"3416.0","1220.0","22.0","34.0","1177.0","55.0","6307.0","1306.0","5917.0","75.0"
"3480.0","1254.0","35.0","34.0","1598.0","66.0","6652.0","1391.0","6317.0","89.0"
"3698.0","1324.0","38.0","42.0","1742.0","75.0","6935.0","1475.0","6172.0","91.0"
"6168.0","1411.0","47.0","61.0","5479.0","114.0","6826.0","1513.0","6528.0","90.0"
"4849.0","1524.0","37.0","70.0","5169.0","118.0","6138.0","1423.0","6040.0","101.0"
"3275.0","1128.0","25.0","43.0","3002.0","70.0","5020.0","1112.0","5098.0","67.0"
"3602.0","1208.0","33.0","43.0","2696.0","68.0","5419.0","1179.0","5442.0","74.0"
"4257.0","1256.0","36.0","51.0","2961.0","107.0","6334.0","1501.0","6607.0","136.0"
"4252.0","1273.0","55.0","63.0","2621.0","96.0","6682.0","1488.0","6266.0","153.0"
"4051.0","1387.0","43.0","47.0","2650.0","101.0","6478.0","1442.0","5992.0","124.0"
"4033.0","1314.0","68.0","44.0","2817.0","100.0","6391.0","1415.0","5855.0","86.0"
"3552.0","1285.0","48.0","37.0","2305.0","78.0","6067.0","1302.0","6076.0","96.0"
"2836.0","1057.0","32.0","30.0","1299.0","49.0","4873.0","1025.0","4593.0","81.0"
"3592.0","1070.0","41.0","30.0","1461.0","47.0","5787.0","1176.0","5259.0","82.0"
"4257.0","1287.0","41.0","48.0","2346.0","61.0","6371.0","1480.0","6391.0","82.0"
"4338.0","1306.0","59.0","47.0","2523.0","79.0","7202.0","1542.0","6743.0","124.0"
"4597.0","1395.0","58.0","56.0","2511.0","94.0","6926.0","1611.0","6550.0","83.0"
"4200.0","1357.0","51.0","58.0","2277.0","97.0","6781.0","1529.0","6128.0","124.0"
"3824.0","1181.0","23.0","45.0","2060.0","73.0","5705.0","1374.0","5401.0","68.0"
"3422.0","1123.0","27.0","44.0","1346.0","39.0","5341.0","1125.0","4760.0","81.0"
"3507.0","1189.0","43.0","41.0","1560.0","46.0","6125.0","1116.0","5083.0","84.0"
"4418.0","1279.0","43.0","64.0","2405.0","83.0","7004.0","1485.0","6509.0","89.0"
"4076.0","1144.0","50.0","47.0","2108.0","94.0","6655.0","1399.0","5568.0","101.0"
"4727.0","1157.0","33.0","52.0","2317.0","73.0","6673.0","1491.0","5633.0","125.0"
"3923.0","1042.0","53.0","50.0","1944.0","83.0","5709.0","1260.0","5173.0","94.0"
"3467.0","1017.0","41.0","45.0","1653.0","56.0","5105.0","1092.0","4771.0","95.0"
"2732.0","832.0","38.0","29.0","874.0","40.0","4413.0","915.0","4039.0","92.0"
"2973.0","857.0","42.0","35.0","1123.0","53.0","4967.0","1013.0","4510.0","97.0"
"3990.0","1043.0","35.0","62.0","1992.0","89.0","6045.0","1387.0","5684.0","95.0"
"4034.0","970.0","35.0","48.0","1980.0","44.0","6050.0","1343.0","5297.0","103.0"
"3580.0","1002.0","47.0","40.0","1870.0","70.0","5672.0","1299.0","4598.0","105.0"
"4279.0","940.0","41.0","52.0","1784.0","81.0","5469.0","1221.0","4624.0","109.0"
"3188.0","1021.0","41.0","44.0","1568.0","64.0","4959.0","1068.0","4571.0","88.0"
"2545.0","825.0","33.0","34.0","1009.0","35.0","4191.0","918.0","3718.0","80.0"
"3157.0","894.0","32.0","24.0","1208.0","45.0","4935.0","1043.0","4166.0","91.0"
"3618.0","1050.0","55.0","46.0","1928.0","57.0","6030.0","1280.0","5313.0","118.0"
"3773.0","1050.0","48.0","71.0","1836.0","95.0","5834.0","1178.0","5342.0","137.0"
"3547.0","1019.0","38.0","45.0","1594.0","63.0","5838.0","1302.0","4765.0","128.0"
"3595.0","1080.0","37.0","40.0","1699.0","76.0","5526.0","1151.0","5225.0","113.0"
"3231.0","961.0","51.0","33.0","1467.0","65.0","4915.0","1105.0","4999.0","88.0"
"2580.0","829.0","30.0","29.0","877.0","48.0","4708.0","897.0","4707.0","69.0"
"2878.0","812.0","38.0","52.0","957.0","62.0","4779.0","940.0","5177.0","89.0"
"3793.0","1086.0","59.0","54.0","1703.0","63.0","5919.0","1587.0","6182.0","114.0"
"3648.0","1093.0","40.0","35.0","1631.0","61.0","5792.0","1651.0","5984.0","112.0"
"4463.0","1128.0","40.0","45.0","1888.0","69.0","6013.0","1382.0","5491.0","128.0"
"4351.0","968.0","35.0","49.0","1999.0","60.0","5600.0","1394.0","4879.0","106.0"
"3321.0","942.0","31.0","39.0","1506.0","62.0","4806.0","1005.0","4546.0","88.0"
"2607.0","721.0","30.0","31.0","963.0","68.0","3954.0","942.0","3970.0","65.0"
"3663.0","873.0","33.0","41.0","1062.0","56.0","4852.0","938.0","4681.0","86.0"
"3759.0","1008.0","40.0","52.0","1373.0","77.0","5857.0","1313.0","5655.0","101.0"
"3840.0","944.0","53.0","67.0","1459.0","88.0","5607.0","1353.0","5494.0","101.0"
"4002.0","1004.0","39.0","47.0","1502.0","78.0","5388.0","1254.0","5388.0","106.0"
"5798.0","1011.0","56.0","66.0","1766.0","56.0","5197.0","1253.0","5256.0","100.0"
"5277.0","952.0","40.0","70.0","1528.0","61.0","4593.0","1084.0","4697.0","81.0"
"4700.0","820.0","30.0","48.0","1131.0","60.0","3837.0","882.0","3861.0","80.0"
"9659.0","874.0","48.0","80.0","1670.0","53.0","4456.0","935.0","4465.0","73.0"
"9113.0","1026.0","52.0","94.0","2259.0","95.0","5489.0","1345.0","5748.0","98.0"
"6730.0","963.0","48.0","62.0","1925.0","84.0","5171.0","1335.0","5459.0","111.0"
"6574.0","952.0","53.0","88.0","2056.0","87.0","5344.0","1402.0","5211.0","93.0"
"5212.0","1007.0","39.0","56.0","1796.0","80.0","4747.0","1316.0","4977.0","112.0"
"5289.0","893.0","59.0","49.0","1633.0","69.0","4399.0","1134.0","5075.0","82.0"
"3269.0","736.0","39.0","53.0","983.0","47.0","3671.0","835.0","3998.0","72.0"
"3725.0","828.0","36.0","29.0","1053.0","46.0","4090.0","1031.0","4394.0","68.0"
"4852.0","1028.0","46.0","48.0","1822.0","71.0","5420.0","1352.0","5486.0","103.0"
"4119.0","996.0","37.0","65.0","1562.0","77.0","5076.0","1372.0","5147.0","119.0"
"4162.0","1014.0","46.0","57.0","1692.0","71.0","4927.0","1391.0","5099.0","123.0"
"4115.0","1114.0","89.0","55.0","1809.0","70.0","4973.0","1324.0","5176.0","151.0"
"4154.0","951.0","33.0","49.0","1345.0","61.0","4195.0","1039.0","4325.0","81.0"
"3068.0","731.0","25.0","31.0","870.0","33.0","3658.0","803.0","3577.0","95.0"
"3681.0","949.0","30.0","60.0","1044.0","43.0","4112.0","1019.0","4204.0","114.0"
"4320.0","889.0","62.0","29.0","1510.0","65.0","4807.0","1237.0","5293.0","115.0"
"3889.0","1002.0","33.0","60.0","1598.0","79.0","4913.0","1259.0","5172.0","130.0"
"4030.0","900.0","29.0","37.0","1509.0","52.0","4768.0","1308.0","4657.0","94.0"
"3780.0","902.0","45.0","43.0","1517.0","75.0","4403.0","1273.0","4442.0","77.0"
"3595.0","864.0","38.0","47.0","1261.0","51.0","3909.0","1130.0","4254.0","63.0"
"2772.0","714.0","40.0","40.0","894.0","38.0","3295.0","847.0","3745.0","108.0"
"3064.0","788.0","37.0","46.0","888.0","28.0","3672.0","954.0","4053.0","93.0"
"4153.0","843.0","45.0","44.0","1661.0","60.0","4881.0","1358.0","5364.0","81.0"
"4529.0","944.0","44.0","47.0","1727.0","64.0","4537.0","1323.0","5177.0","104.0"
"4418.0","1051.0","37.0","57.0","1668.0","54.0","4718.0","1303.0","5016.0","82.0"
"4604.0","960.0","34.0","49.0","1559.0","83.0","4575.0","1305.0","4837.0","97.0"
"3412.0","877.0","37.0","48.0","1289.0","63.0","3736.0","1243.0","4386.0","104.0"
"2813.0","705.0","17.0","28.0","801.0","35.0","3189.0","917.0","3621.0","70.0"
"3203.0","754.0","30.0","35.0","969.0","43.0","3375.0","1033.0","3995.0","82.0"
"4466.0","975.0","52.0","55.0","1604.0","70.0","4601.0","1366.0","6138.0","130.0"
"4691.0","935.0","37.0","48.0","1747.0","69.0","4508.0","1345.0","5487.0","117.0"
"4314.0","925.0","51.0","56.0","1685.0","58.0","4592.0","1495.0","5442.0","93.0"
"4128.0","990.0","62.0","54.0","1477.0","85.0","4244.0","1309.0","4970.0","107.0"
"3691.0","852.0","43.0","46.0","1275.0","69.0","3509.0","1337.0","4903.0","68.0"
"2696.0","682.0","37.0","30.0","844.0","48.0","2952.0","925.0","4136.0","56.0"
"3470.0","821.0","52.0","34.0","1033.0","40.0","3688.0","918.0","4898.0","78.0"
"4082.0","930.0","35.0","43.0","1687.0","72.0","4482.0","1429.0","6184.0","112.0"
"4268.0","945.0","42.0","54.0","1773.0","59.0","4343.0","1534.0","6178.0","125.0"
"4874.0","1027.0","47.0","77.0","1843.0","72.0","4245.0","1395.0","5166.0","96.0"
"4351.0","1014.0","39.0","64.0","1658.0","63.0","4027.0","1385.0","5219.0","82.0"
"4849.0","932.0","62.0","57.0","1620.0","65.0","3608.0","1272.0","4839.0","99.0"
"3556.0","693.0","38.0","27.0","894.0","50.0","2961.0","928.0","3771.0","71.0"
"3799.0","746.0","35.0","33.0","1005.0","46.0","3400.0","1007.0","4706.0","102.0"
"5253.0","973.0","48.0","66.0","1715.0","85.0","4469.0","1444.0","5793.0","111.0"
"5076.0","980.0","49.0","76.0","1697.0","63.0","4566.0","1489.0","6379.0","109.0"
"4781.0","1052.0","45.0","50.0","1696.0","80.0","4572.0","1393.0","5740.0","140.0"
"4617.0","1080.0","43.0","61.0","1589.0","64.0","4310.0","1420.0","5564.0","114.0"
"3633.0","883.0","42.0","59.0","1415.0","65.0","3491.0","1199.0","4733.0","99.0"
"3557.0","782.0","38.0","20.0","942.0","39.0","2925.0","890.0","4262.0","74.0"
"4025.0","883.0","34.0","43.0","910.0","36.0","3211.0","966.0","4621.0","78.0"
"4418.0","969.0","36.0","63.0","1493.0","43.0","4185.0","1407.0","6178.0","102.0"
"3828.0","908.0","79.0","60.0","1514.0","72.0","4144.0","1390.0","5616.0","91.0"
"4094.0","958.0","55.0","55.0","1451.0","76.0","4013.0","1385.0","5675.0","95.0"
"5239.0","976.0","41.0","50.0","1537.0","55.0","3823.0","1171.0","5472.0","73.0"
"4512.0","834.0","32.0","48.0","1228.0","64.0","3127.0","1072.0","4938.0","83.0"
"3382.0","707.0","22.0","37.0","866.0","47.0","2927.0","902.0","4309.0","66.0"
"3191.0","785.0","39.0","23.0","895.0","35.0","2967.0","848.0","4325.0","49.0"
"4229.0","862.0","39.0","56.0","1483.0","57.0","3842.0","1144.0","5422.0","76.0"
"4682.0","935.0","47.0","67.0","1753.0","75.0","4232.0","1398.0","5931.0","140.0"
"4339.0","942.0","55.0","77.0","1775.0","85.0","3988.0","1279.0","5470.0","142.0"
"5263.0","988.0","39.0","61.0","1825.0","72.0","3920.0","1412.0","5535.0","107.0"
"3911.0","881.0","45.0","58.0","1321.0","55.0","2975.0","999.0","4756.0","76.0"
"2986.0","677.0","31.0","76.0","898.0","41.0","2685.0","926.0","4201.0","66.0"
"3441.0","842.0","39.0","45.0","993.0","41.0","3182.0","1011.0","4830.0","66.0"
"4207.0","878.0","44.0","54.0","1456.0","62.0","3629.0","1195.0","5400.0","133.0"
"4391.0","969.0","45.0","66.0","1591.0","77.0","3790.0","1446.0","5677.0","105.0"
"4365.0","1032.0","40.0","79.0","1664.0","85.0","3901.0","1368.0","5635.0","103.0"
"5122.0","986.0","38.0","62.0","1814.0","79.0","3633.0","1223.0","5275.0","106.0"
"4614.0","960.0","48.0","59.0","1518.0","62.0","3341.0","1261.0","4890.0","111.0"
"3105.0","714.0","27.0","38.0","895.0","30.0","2775.0","1006.0","4449.0","64.0"
"3704.0","815.0","30.0","46.0","1015.0","38.0","3039.0","970.0","4368.0","75.0"
"4446.0","995.0","38.0","58.0","1586.0","83.0","3700.0","1352.0","5869.0","142.0"
"4721.0","1095.0","41.0","63.0","1959.0","90.0","3733.0","1381.0","5856.0","114.0"
"4918.0","1025.0","43.0","49.0","1792.0","90.0","3761.0","1431.0","6566.0","163.0"
"4408.0","936.0","34.0","65.0","1703.0","67.0","3698.0","1256.0","5532.0","126.0"
"3676.0","984.0","40.0","41.0","1388.0","64.0","3062.0","1149.0","5027.0","84.0"
"3021.0","783.0","32.0","40.0","852.0","26.0","2712.0","891.0","4034.0","74.0"
"3321.0","758.0","42.0","34.0","940.0","56.0","3350.0","1000.0","4638.0","84.0"
"4647.0","923.0","47.0","51.0","1849.0","76.0","3783.0","1323.0","5700.0","108.0"
"4671.0","889.0","37.0","60.0","1763.0","85.0","3669.0","1303.0","5477.0","117.0"
"4630.0","987.0","40.0","56.0","1797.0","67.0","3670.0","1339.0","5425.0","117.0"
"4719.0","967.0","53.0","58.0","1636.0","92.0","3682.0","1190.0","5201.0","103.0"
"4588.0","898.0","33.0","61.0","1486.0","69.0","3168.0","1084.0","5084.0","88.0"
"3256.0","779.0","30.0","42.0","800.0","40.0","2509.0","798.0","3960.0","75.0"
"3289.0","733.0","64.0","39.0","928.0","46.0","3063.0","973.0","4496.0","51.0"
"4512.0","912.0","35.0","34.0","1653.0","74.0","3764.0","1319.0","5600.0","113.0"
"4802.0","877.0","44.0","76.0","1685.0","73.0","3602.0","1312.0","5848.0","113.0"
"6298.0","928.0","43.0","94.0","1925.0","72.0","3556.0","1262.0","5179.0","108.0"
"5236.0","1040.0","43.0","102.0","1799.0","71.0","3363.0","1160.0","5193.0","110.0"
"10638.0","856.0","45.0","148.0","2578.0","77.0","2839.0","1199.0","4487.0","91.0"
"7476.0","685.0","31.0","91.0","1374.0","39.0","2573.0","787.0","3866.0","68.0"
"6791.0","694.0","36.0","56.0","1241.0","45.0","3492.0","1090.0","4151.0","59.0"
"5398.0","799.0","27.0","52.0","1223.0","56.0","4049.0","1363.0","4850.0","90.0"
"6089.0","898.0","42.0","76.0","1732.0","88.0","4533.0","1598.0","5595.0","78.0"
"5688.0","902.0","24.0","58.0","1654.0","68.0","4354.0","1592.0","5150.0","81.0"
"5113.0","949.0","33.0","63.0","1548.0","68.0","4042.0","1446.0","4917.0","103.0"
"3913.0","812.0","33.0","61.0","1364.0","63.0","3299.0","1089.0","4771.0","70.0"
"3733.0","774.0","25.0","46.0","852.0","27.0","2731.0","824.0","4129.0","77.0"
"3546.0","818.0","30.0","36.0","934.0","36.0","2898.0","1644.0","4332.0","64.0"
"4328.0","831.0","37.0","35.0","1567.0","62.0","3679.0","1450.0","5228.0","85.0"
"4469.0","841.0","38.0","65.0","1673.0","67.0","3523.0","1262.0","5355.0","90.0"
"4367.0","907.0","46.0","84.0","1635.0","61.0","3839.0","1173.0","5059.0","95.0"
"4654.0","849.0","39.0","79.0","1776.0","67.0","3197.0","1060.0","5056.0","107.0"
"4379.0","751.0","29.0","54.0","1490.0","57.0","3000.0","958.0","4712.0","67.0"
"3193.0","702.0","34.0","43.0","876.0","39.0","2649.0","727.0","4249.0","56.0"
"3327.0","729.0","22.0","49.0","885.0","40.0","2992.0","832.0","4405.0","62.0"
"4822.0","845.0","32.0","52.0","1851.0","55.0","3730.0","1175.0","5537.0","69.0"
"3523.0","812.0","31.0","95.0","1440.0","60.0","3312.0","991.0","4778.0","102.0"
"3900.0","950.0","36.0","88.0","1755.0","67.0","3868.0","1193.0","5337.0","126.0"
"3740.0","869.0","39.0","102.0","1558.0","74.0","3457.0","1088.0","4806.0","116.0"
"3201.0","887.0","35.0","73.0","1462.0","53.0","3170.0","990.0","4489.0","90.0"
"2523.0","705.0","19.0","34.0","826.0","36.0","2560.0","716.0","3737.0","59.0"
"2915.0","818.0","19.0","40.0","858.0","32.0","3409.0","819.0","4355.0","80.0"
"3815.0","951.0","21.0","59.0","1517.0","64.0","3797.0","1118.0","5538.0","86.0"
"4054.0","1015.0","16.0","54.0","1665.0","78.0","3903.0","1189.0","5328.0","80.0"
"4272.0","1003.0","20.0","64.0","1901.0","77.0","4099.0","1275.0","5355.0","103.0"
"4341.0","996.0","30.0","93.0","1743.0","59.0","3892.0","1139.0","5298.0","108.0"
"3865.0","801.0","23.0","119.0","1587.0","57.0","3385.0","1059.0","4675.0","83.0"
"2865.0","661.0","20.0","44.0","893.0","30.0","2779.0","694.0","3760.0","90.0"
"3144.0","711.0","21.0","46.0","840.0","41.0","3102.0","806.0","4183.0","84.0"
"3759.0","960.0","24.0","62.0","1638.0","63.0","3852.0","1068.0","5373.0","104.0"
"4092.0","957.0","29.0","68.0","1726.0","62.0","3864.0","1143.0","5366.0","92.0"
"3801.0","943.0","28.0","65.0","1625.0","74.0","3712.0","1078.0","5172.0","88.0"
"3142.0","938.0","26.0","48.0","1418.0","47.0","3343.0","1039.0","4516.0","70.0"
"2868.0","839.0","20.0","50.0","1299.0","51.0","3152.0","887.0","4545.0","56.0"
"2541.0","695.0","22.0","36.0","744.0","43.0","2899.0","730.0","3715.0","66.0"
"2613.0","731.0","23.0","39.0","813.0","32.0","2928.0","737.0","3827.0","72.0"
"3276.0","865.0","21.0","38.0","1185.0","28.0","3571.0","1002.0","5055.0","90.0"
"3564.0","800.0","13.0","46.0","1427.0","53.0","3755.0","1119.0","5133.0","105.0"
"3501.0","925.0","17.0","95.0","1731.0","69.0","3835.0","1186.0","4870.0","91.0"
"3288.0","858.0","22.0","77.0","1591.0","56.0","3696.0","1039.0","4771.0","120.0"
"3036.0","790.0","20.0","46.0","1351.0","58.0","3314.0","910.0","4465.0","59.0"
"2431.0","666.0","14.0","40.0","806.0","32.0","2791.0","659.0","3671.0","61.0"
"2573.0","705.0","16.0","49.0","880.0","45.0","2994.0","691.0","4143.0","70.0"
"3472.0","890.0","20.0","66.0","1656.0","77.0","3820.0","1104.0","5245.0","75.0"
"3591.0","919.0","32.0","78.0","1735.0","66.0","3982.0","1075.0","5162.0","86.0"
"3045.0","742.0","22.0","53.0","1454.0","60.0","3477.0","984.0","4568.0","83.0"
"3054.0","900.0","14.0","60.0","1460.0","45.0","3453.0","1063.0","4653.0","83.0"
"2814.0","835.0","17.0","33.0","1159.0","46.0","3048.0","867.0","4207.0","83.0"
"2506.0","720.0","15.0","39.0","748.0","44.0","2626.0","638.0","3563.0","71.0"
"2699.0","732.0","15.0","28.0","780.0","36.0","3003.0","811.0","3776.0","69.0"
"3574.0","955.0","18.0","57.0","1580.0","43.0","4012.0","1066.0","4982.0","100.0"
"3508.0","906.0","20.0","59.0","1565.0","66.0","3734.0","1175.0","4565.0","96.0"
"3430.0","826.0","15.0","61.0","1694.0","63.0","3828.0","1219.0","4738.0","90.0"
"3219.0","855.0","26.0","44.0","1358.0","64.0","3545.0","980.0","4248.0","96.0"
"3337.0","830.0","21.0","48.0","1276.0","43.0","3163.0","989.0","4053.0","88.0"
"2598.0","693.0","20.0","38.0","749.0","33.0","2653.0","761.0","3667.0","68.0"
"2585.0","710.0","25.0","42.0","783.0","36.0","2788.0","780.0","3650.0","88.0"
"3301.0","824.0","25.0","60.0","1469.0","70.0","3632.0","1051.0","4888.0","87.0"
"3480.0","844.0","32.0","55.0","1484.0","69.0","3952.0","1083.0","5005.0","75.0"
"3490.0","1003.0","31.0","82.0","1447.0","55.0","3899.0","1085.0","4734.0","93.0"
"3257.0","874.0","29.0","75.0","1428.0","72.0","3884.0","1053.0","4502.0","76.0"
"2973.0","799.0","20.0","67.0","1233.0","56.0","3410.0","918.0","4395.0","57.0"
"2628.0","643.0","14.0","48.0","740.0","32.0","2825.0","759.0","3616.0","63.0"
"2629.0","686.0","19.0","50.0","754.0","36.0","3119.0","740.0","3857.0","66.0"
"3301.0","778.0","15.0","54.0","1292.0","57.0","3499.0","1003.0","4486.0","67.0"
"3420.0","831.0","24.0","64.0","1436.0","58.0","3856.0","1192.0","4790.0","101.0"
"3423.0","935.0","18.0","48.0","1461.0","71.0","3893.0","1121.0","4760.0","104.0"
"3631.0","901.0","19.0","61.0","1485.0","78.0","3880.0","1043.0","4698.0","88.0"
"3573.0","821.0","29.0","56.0","1244.0","63.0","3754.0","914.0","4192.0","75.0"
"2410.0","702.0","12.0","34.0","771.0","45.0","2841.0","2160.0","3509.0","59.0"
"2601.0","759.0","13.0","33.0","774.0","30.0","3022.0","830.0","3767.0","99.0"
"3325.0","904.0","23.0","48.0","1297.0","69.0","3579.0","1156.0","4588.0","60.0"
"3258.0","906.0","24.0","46.0","1372.0","63.0","3680.0","1063.0","4607.0","64.0"
"3161.0","846.0","14.0","70.0","1409.0","59.0","3425.0","1050.0","4797.0","79.0"
"3023.0","864.0","22.0","74.0","1341.0","69.0","3183.0","1013.0","4556.0","98.0"
"2641.0","805.0","20.0","50.0","1054.0","65.0","2988.0","867.0","4021.0","61.0"
"2254.0","625.0","14.0","27.0","697.0","45.0","2736.0","732.0","3651.0","49.0"
"2585.0","691.0","24.0","49.0","729.0","29.0","2995.0","838.0","3708.0","70.0"
"2991.0","811.0","12.0","70.0","1142.0","43.0","3274.0","905.0","4519.0","94.0"
"3270.0","864.0","26.0","50.0","1365.0","65.0","3606.0","1043.0","4621.0","106.0"
"2903.0","786.0","17.0","49.0","1224.0","63.0","3374.0","957.0","4210.0","88.0"
"2488.0","772.0","21.0","49.0","1034.0","56.0","2948.0","886.0","3838.0","101.0"
"2623.0","905.0","22.0","34.0","1104.0","72.0","3077.0","956.0","4085.0","62.0"
"2261.0","709.0","14.0","24.0","808.0","31.0","2793.0","787.0","3488.0","64.0"
"2390.0","715.0","12.0","34.0","745.0","38.0","3048.0","785.0","3745.0","71.0"
"3091.0","821.0","15.0","76.0","1319.0","92.0","3419.0","942.0","4531.0","88.0"
"3202.0","921.0","17.0","48.0","1282.0","70.0","3388.0","971.0","4261.0","86.0"
"3538.0","776.0","12.0","52.0","1289.0","61.0","3279.0","941.0","3899.0","86.0"
"3017.0","828.0","19.0","56.0","1297.0","59.0","3302.0","935.0","3915.0","63.0"
"2587.0","870.0","23.0","38.0","1278.0","53.0","3087.0","876.0","3866.0","72.0"
"2232.0","726.0","13.0","36.0","789.0","26.0","3259.0","637.0","3420.0","41.0"
"2289.0","784.0","18.0","36.0","765.0","39.0","2934.0","747.0","3519.0","57.0"
"2822.0","1333.0","15.0","44.0","1028.0","41.0","3080.0","924.0","3908.0","54.0"
"2864.0","1117.0","21.0","48.0","1140.0","57.0","3091.0","1038.0","4129.0","78.0"
"3599.0","831.0","23.0","41.0","1253.0","70.0","3149.0","1062.0","4154.0","83.0"
"2828.0","853.0","27.0","45.0","1058.0","65.0","3136.0","883.0","3849.0","83.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2073.0","693.0","18.0","41.0","601.0","29.0","2540.0","785.0","3329.0","55.0"
"2323.0","804.0","15.0","59.0","635.0","29.0","2819.0","754.0","3480.0","76.0"
"2518.0","754.0","26.0","53.0","863.0","38.0","3003.0","883.0","3513.0","88.0"
"2880.0","861.0","22.0","64.0","1161.0","52.0","3401.0","1029.0","4136.0","97.0"
"2823.0","838.0","22.0","46.0","1173.0","65.0","3201.0","997.0","3812.0","93.0"
"2975.0","912.0","24.0","46.0","1228.0","63.0","3626.0","1015.0","3895.0","90.0"
"2676.0","883.0","23.0","59.0","1164.0","47.0","3415.0","971.0","3666.0","101.0"
"2461.0","799.0","20.0","46.0","776.0","28.0","3019.0","775.0","3416.0","83.0"
"2429.0","687.0","21.0","38.0","688.0","30.0","2965.0","799.0","3496.0","97.0"
"2957.0","883.0","34.0","36.0","1224.0","45.0","3591.0","992.0","4011.0","88.0"
"3236.0","928.0","29.0","70.0","1315.0","64.0","3337.0","1027.0","3778.0","101.0"
"3303.0","968.0","19.0","67.0","1297.0","51.0","3517.0","1041.0","3903.0","85.0"
"3360.0","993.0","23.0","73.0","1441.0","72.0","3504.0","1038.0","3973.0","124.0"
"2864.0","963.0","15.0","69.0","1262.0","56.0","3274.0","1018.0","3709.0","157.0"
"2570.0","775.0","21.0","54.0","906.0","41.0","3072.0","891.0","3335.0","89.0"
"2469.0","776.0","15.0","57.0","831.0","38.0","3032.0","841.0","3407.0","78.0"
"3552.0","989.0","34.0","87.0","1401.0","51.0","3734.0","1167.0","4155.0","109.0"
"3464.0","933.0","29.0","96.0","1443.0","60.0","4165.0","1150.0","4163.0","133.0"
"3230.0","905.0","19.0","95.0","1405.0","41.0","4537.0","1089.0","3700.0","130.0"
