Week,influenza,haemophilus,hepatitis
2010-12-05 - 2010-12-11,21,84,42
2010-12-12 - 2010-12-18,20,90,40
2010-12-19 - 2010-12-25,16,40,32
2010-12-26 - 2011-01-01,17,48,32
2011-01-02 - 2011-01-08,23,64,46
2011-01-09 - 2011-01-15,22,68,40
2011-01-16 - 2011-01-22,27,72,45
2011-01-23 - 2011-01-29,34,79,43
2011-01-30 - 2011-02-05,33,84,40
2011-02-06 - 2011-02-12,37,85,43
2011-02-13 - 2011-02-19,41,78,42
2011-02-20 - 2011-02-26,38,84,42
2011-02-27 - 2011-03-05,35,79,43
2011-03-06 - 2011-03-12,30,80,45
2011-03-13 - 2011-03-19,25,73,44
2011-03-20 - 2011-03-26,22,87,42
2011-03-27 - 2011-04-02,19,69,46
2011-04-03 - 2011-04-09,18,83,47
2011-04-10 - 2011-04-16,17,92,46
2011-04-17 - 2011-04-23,14,93,44
2011-04-24 - 2011-04-30,14,98,48
2011-05-01 - 2011-05-07,13,100,46
2011-05-08 - 2011-05-14,12,90,46
2011-05-15 - 2011-05-21,12,69,45
2011-05-22 - 2011-05-28,9,86,45
2011-05-29 - 2011-06-04,9,59,42
2011-06-05 - 2011-06-11,9,74,44
2011-06-12 - 2011-06-18,8,64,42
2011-06-19 - 2011-06-25,7,63,43
2011-06-26 - 2011-07-02,8,60,42
2011-07-03 - 2011-07-09,7,67,39
2011-07-10 - 2011-07-16,7,69,43
2011-07-17 - 2011-07-23,8,56,43
2011-07-24 - 2011-07-30,7,66,47
2011-07-31 - 2011-08-06,7,59,42
2011-08-07 - 2011-08-13,8,65,45
2011-08-14 - 2011-08-20,8,53,42
2011-08-21 - 2011-08-27,9,59,40
2011-08-28 - 2011-09-03,12,62,41
2011-09-04 - 2011-09-10,13,59,38
2011-09-11 - 2011-09-17,17,72,44
2011-09-18 - 2011-09-24,18,76,48
2011-09-25 - 2011-10-01,18,67,45
2011-10-02 - 2011-10-08,19,74,44
2011-10-09 - 2011-10-15,19,73,45
2011-10-16 - 2011-10-22,18,84,46
2011-10-23 - 2011-10-29,19,79,47
2011-10-30 - 2011-11-05,19,84,48
2011-11-06 - 2011-11-12,18,87,47
2011-11-13 - 2011-11-19,18,76,46
2011-11-20 - 2011-11-26,14,62,37
2011-11-27 - 2011-12-03,18,91,44
2011-12-04 - 2011-12-10,17,87,42
2011-12-11 - 2011-12-17,14,83,40
2011-12-18 - 2011-12-24,12,57,36
2011-12-25 - 2011-12-31,10,47,34
2012-01-01 - 2012-01-07,12,59,38
2012-01-08 - 2012-01-14,14,65,44
2012-01-15 - 2012-01-21,14,70,45
2012-01-22 - 2012-01-28,16,72,45
2012-01-29 - 2012-02-04,19,90,44
2012-02-05 - 2012-02-11,18,84,46
2012-02-12 - 2012-02-18,24,79,43
2012-02-19 - 2012-02-25,24,81,56
2012-02-26 - 2012-03-03,25,77,47
2012-03-04 - 2012-03-10,27,82,47
2012-03-11 - 2012-03-17,26,82,45
2012-03-18 - 2012-03-24,24,76,44
2012-03-25 - 2012-03-31,21,74,48
2012-04-01 - 2012-04-07,17,67,44
2012-04-08 - 2012-04-14,18,74,46
2012-04-15 - 2012-04-21,17,99,47
2012-04-22 - 2012-04-28,16,88,46
2012-04-29 - 2012-05-05,16,85,46
2012-05-06 - 2012-05-12,15,63,46
2012-05-13 - 2012-05-19,13,65,53
2012-05-20 - 2012-05-26,11,55,50
2012-05-27 - 2012-06-02,10,52,45
2012-06-03 - 2012-06-09,9,62,44
2012-06-10 - 2012-06-16,9,66,45
2012-06-17 - 2012-06-23,9,50,47
2012-06-24 - 2012-06-30,8,57,43
2012-07-01 - 2012-07-07,6,50,39
2012-07-08 - 2012-07-14,7,57,43
2012-07-15 - 2012-07-21,7,59,49
2012-07-22 - 2012-07-28,7,65,56
2012-07-29 - 2012-08-04,8,56,54
2012-08-05 - 2012-08-11,8,47,43
2012-08-12 - 2012-08-18,9,48,70
2012-08-19 - 2012-08-25,10,50,53
2012-08-26 - 2012-09-01,10,56,45
2012-09-02 - 2012-09-08,13,59,44
2012-09-09 - 2012-09-15,15,59,45
2012-09-16 - 2012-09-22,17,69,44
2012-09-23 - 2012-09-29,19,71,46
2012-09-30 - 2012-10-06,18,67,46
2012-10-07 - 2012-10-13,18,83,43
2012-10-14 - 2012-10-20,19,74,46
2012-10-21 - 2012-10-27,19,55,44
2012-10-28 - 2012-11-03,17,63,40
2012-11-04 - 2012-11-10,18,68,38
2012-11-11 - 2012-11-17,21,80,43
2012-11-18 - 2012-11-24,17,59,36
2012-11-25 - 2012-12-01,24,80,42
2012-12-02 - 2012-12-08,33,81,43
2012-12-09 - 2012-12-15,33,76,40
2012-12-16 - 2012-12-22,40,50,36
2012-12-23 - 2012-12-29,43,24,31
2012-12-30 - 2013-01-05,54,48,34
2013-01-06 - 2013-01-12,100,56,40
2013-01-13 - 2013-01-19,81,69,42
2013-01-20 - 2013-01-26,58,69,40
2013-01-27 - 2013-02-02,47,67,42
2013-02-03 - 2013-02-09,37,78,42
2013-02-10 - 2013-02-16,32,67,41
2013-02-17 - 2013-02-23,28,76,43
2013-02-24 - 2013-03-02,27,78,41
2013-03-03 - 2013-03-09,25,63,41
2013-03-10 - 2013-03-16,23,62,41
2013-03-17 - 2013-03-23,20,65,43
2013-03-24 - 2013-03-30,20,70,46
2013-03-31 - 2013-04-06,20,68,49
2013-04-07 - 2013-04-13,18,73,49
2013-04-14 - 2013-04-20,17,74,47
2013-04-21 - 2013-04-27,17,81,46
2013-04-28 - 2013-05-04,15,85,44
2013-05-05 - 2013-05-11,13,71,46
2013-05-12 - 2013-05-18,11,56,45
2013-05-19 - 2013-05-25,10,51,42
2013-05-26 - 2013-06-01,10,62,57
2013-06-02 - 2013-06-08,9,71,100
2013-06-09 - 2013-06-15,9,69,56
2013-06-16 - 2013-06-22,8,53,48
2013-06-23 - 2013-06-29,7,61,49
2013-06-30 - 2013-07-06,7,52,41
2013-07-07 - 2013-07-13,7,56,44
2013-07-14 - 2013-07-20,8,55,43
2013-07-21 - 2013-07-27,8,55,43
2013-07-28 - 2013-08-03,7,42,44
2013-08-04 - 2013-08-10,7,44,43
2013-08-11 - 2013-08-17,8,47,44
2013-08-18 - 2013-08-24,10,49,47
2013-08-25 - 2013-08-31,12,56,46
2013-09-01 - 2013-09-07,14,51,41
2013-09-08 - 2013-09-14,16,59,42
2013-09-15 - 2013-09-21,18,63,45
2013-09-22 - 2013-09-28,20,68,45
2013-09-29 - 2013-10-05,21,64,41
2013-10-06 - 2013-10-12,20,62,44
2013-10-13 - 2013-10-19,22,65,43
2013-10-20 - 2013-10-26,22,68,47
2013-10-27 - 2013-11-02,20,68,45
2013-11-03 - 2013-11-09,20,69,47
2013-11-10 - 2013-11-16,20,82,46
2013-11-17 - 2013-11-23,20,71,44
2013-11-24 - 2013-11-30,15,54,37
2013-12-01 - 2013-12-07,21,72,46
2013-12-08 - 2013-12-14,23,65,43
2013-12-15 - 2013-12-21,28,51,39
2013-12-22 - 2013-12-28,32,37,32
2013-12-29 - 2014-01-04,42,48,36
2014-01-05 - 2014-01-11,50,65,42
2014-01-12 - 2014-01-18,51,67,44
2014-01-19 - 2014-01-25,44,63,41
2014-01-26 - 2014-02-01,39,69,42
2014-02-02 - 2014-02-08,32,67,40
2014-02-09 - 2014-02-15,28,61,41
2014-02-16 - 2014-02-22,25,79,40
2014-02-23 - 2014-03-01,24,77,61
